id,foi,gamma_num,gamma
1,0.0156,7,0.1429
2,0.0156,7,0.1429
3,0.0156,7,0.1429
4,0.0156,7,0.1429
5,0.0156,7,0.1429
6,0.0156,7,0.1429
7,0.0156,7,0.1429
8,0.0156,7,0.1429
9,0.0156,7,0.1429
10,0.0156,7,0.1429
11,0.0156,7,0.1429
12,0.0156,7,0.1429
13,0.0156,7,0.1429
14,0.0156,7,0.1429
15,0.0156,7,0.1429
16,0.0156,7,0.1429
17,0.0156,7,0.1429
18,0.0156,7,0.1429
19,0.0156,7,0.1429
20,0.0156,7,0.1429
21,0.0156,7,0.1429
22,0.0156,7,0.1429
23,0.0156,7,0.1429
24,0.0156,7,0.1429
25,0.0156,7,0.1429
26,0.0156,7,0.1429
27,0.0156,7,0.1429
28,0.0156,7,0.1429
29,0.0156,7,0.1429
30,0.0156,7,0.1429
31,0.0156,7,0.1429
32,0.0156,7,0.1429
33,0.0156,7,0.1429
34,0.0156,7,0.1429
35,0.0156,7,0.1429
36,0.0156,7,0.1429
37,0.0156,7,0.1429
38,0.0156,7,0.1429
39,0.0156,7,0.1429
40,0.0156,7,0.1429
41,0.0156,7,0.1429
42,0.0156,7,0.1429
43,0.0156,7,0.1429
44,0.0156,7,0.1429
45,0.0156,7,0.1429
46,0.0156,7,0.1429
47,0.0156,7,0.1429
48,0.0156,7,0.1429
49,0.0156,7,0.1429
50,0.0156,7,0.1429
51,0.0156,7,0.1429
52,0.0156,7,0.1429
53,0.0156,7,0.1429
54,0.0156,7,0.1429
55,0.0156,7,0.1429
56,0.0156,7,0.1429
57,0.0156,7,0.1429
58,0.0156,7,0.1429
59,0.0156,7,0.1429
60,0.0156,7,0.1429
61,0.0156,7,0.1429
62,0.0156,7,0.1429
63,0.0156,7,0.1429
64,0.0156,7,0.1429
65,0.0156,7,0.1429
66,0.0156,7,0.1429
67,0.0156,7,0.1429
68,0.0156,7,0.1429
69,0.0156,7,0.1429
70,0.0156,7,0.1429
71,0.0156,7,0.1429
72,0.0156,7,0.1429
73,0.0156,7,0.1429
74,0.0156,7,0.1429
75,0.0156,7,0.1429
76,0.0156,7,0.1429
77,0.0156,7,0.1429
78,0.0156,7,0.1429
79,0.0156,7,0.1429
80,0.0156,7,0.1429
81,0.0156,7,0.1429
82,0.0156,7,0.1429
83,0.0156,7,0.1429
84,0.0156,7,0.1429
85,0.0156,7,0.1429
86,0.0156,7,0.1429
87,0.0156,7,0.1429
88,0.0156,7,0.1429
89,0.0156,7,0.1429
90,0.0156,7,0.1429
91,0.0156,7,0.1429
92,0.0156,7,0.1429
93,0.0156,7,0.1429
94,0.0156,7,0.1429
95,0.0156,7,0.1429
96,0.0156,7,0.1429
97,0.0156,7,0.1429
98,0.0156,7,0.1429
99,0.0156,7,0.1429
100,0.0156,7,0.1429
101,0.0156,7,0.1429
102,0.0156,7,0.1429
103,0.0156,7,0.1429
104,0.0156,7,0.1429
105,0.0156,7,0.1429
106,0.0156,7,0.1429
107,0.0156,7,0.1429
108,0.0156,7,0.1429
109,0.0156,7,0.1429
110,0.0156,7,0.1429
111,0.0156,7,0.1429
112,0.0156,7,0.1429
113,0.0156,7,0.1429
114,0.0156,7,0.1429
115,0.0156,7,0.1429
116,0.0156,7,0.1429
117,0.0156,7,0.1429
118,0.0156,7,0.1429
119,0.0156,7,0.1429
120,0.0156,7,0.1429
121,0.0156,7,0.1429
122,0.0156,7,0.1429
123,0.0156,7,0.1429
124,0.0156,7,0.1429
125,0.0156,7,0.1429
126,0.0156,7,0.1429
127,0.0156,7,0.1429
128,0.0156,7,0.1429
129,0.0156,7,0.1429
130,0.0156,7,0.1429
131,0.0156,7,0.1429
132,0.0156,7,0.1429
133,0.0156,7,0.1429
134,0.0156,7,0.1429
135,0.0156,7,0.1429
136,0.0156,7,0.1429
137,0.0156,7,0.1429
138,0.0156,7,0.1429
139,0.0156,7,0.1429
140,0.0156,7,0.1429
141,0.0156,7,0.1429
142,0.0156,7,0.1429
143,0.0156,7,0.1429
144,0.0156,7,0.1429
145,0.0156,7,0.1429
146,0.0156,7,0.1429
147,0.0156,7,0.1429
148,0.0156,7,0.1429
149,0.0156,7,0.1429
150,0.0156,7,0.1429
151,0.0156,7,0.1429
152,0.0156,7,0.1429
153,0.0156,7,0.1429
154,0.0156,7,0.1429
155,0.0156,7,0.1429
156,0.0156,7,0.1429
157,0.0156,7,0.1429
158,0.0156,7,0.1429
159,0.0156,7,0.1429
160,0.0156,7,0.1429
161,0.0156,7,0.1429
162,0.0156,7,0.1429
163,0.0156,7,0.1429
164,0.0156,7,0.1429
165,0.0156,7,0.1429
166,0.0156,7,0.1429
167,0.0156,7,0.1429
168,0.0156,7,0.1429
169,0.0156,7,0.1429
170,0.0156,7,0.1429
171,0.0156,7,0.1429
172,0.0156,7,0.1429
173,0.0156,7,0.1429
174,0.0156,7,0.1429
175,0.0156,7,0.1429
176,0.0156,7,0.1429
177,0.0156,7,0.1429
178,0.0156,7,0.1429
179,0.0156,7,0.1429
180,0.0156,7,0.1429
181,0.0156,7,0.1429
182,0.0156,7,0.1429
183,0.0156,7,0.1429
184,0.0156,7,0.1429
185,0.0156,7,0.1429
186,0.0156,7,0.1429
187,0.0156,7,0.1429
188,0.0156,7,0.1429
189,0.0156,7,0.1429
190,0.0156,7,0.1429
191,0.0156,7,0.1429
192,0.0156,7,0.1429
193,0.0156,7,0.1429
194,0.0156,7,0.1429
195,0.0156,7,0.1429
