id,foi,R0,country
268,0.0128,1,6
269,0.0128,1,6
270,0.0128,1,6
271,0.0128,1,6
272,0.0128,1,6
273,0.0128,1,6
274,0.0128,1,6
275,0.0128,1,6
276,0.0128,1,6
277,0.0128,1,6
278,0.0128,1,6
279,0.0128,1,6
280,0.0128,1,6
281,0.0128,1,6
282,0.0128,1,6
283,0.0128,1,6
284,0.0128,1,6
285,0.0128,1,6
286,0.0128,1,6
287,0.0128,1,6
288,0.0128,1,6
289,0.0128,1,6
290,0.0128,1,6
291,0.0128,1,6
292,0.0128,1,6
293,0.0128,1,6
294,0.0128,1,6
295,0.0128,1,6
296,0.0128,1,6
297,0.0128,1,6
298,0.0128,1,6
299,0.0128,1,6
300,0.0128,1,6
301,0.0128,1,6
302,0.0128,1,6
303,0.0128,1,6
304,0.0128,1,6
305,0.0128,1,6
306,0.0128,1,6
307,0.0128,1,6
308,0.0128,1,6
309,0.0128,1,6
310,0.0128,1,6
311,0.0128,1,6
312,0.0128,1,6
313,0.0128,1,6
314,0.0128,1,6
315,0.0128,1,6
316,0.0128,1,6
317,0.0128,1,6
318,0.0128,1,6
319,0.0128,1,6
320,0.0128,1,6
321,0.0128,1,6
322,0.0128,1,6
323,0.0128,1,6
324,0.0128,1,6
325,0.0128,1,6
326,0.0128,1,6
327,0.0128,1,6
328,0.0128,1,6
329,0.0128,1,6
330,0.0128,1,6
331,0.0128,1,6
332,0.0128,1,6
333,0.0128,1,6
334,0.0128,1,6
335,0.0128,1,6
336,0.0128,1,6
337,0.0128,1,6
338,0.0128,1,6
339,0.0128,1,6
340,0.0128,1,6
341,0.0128,1,6
342,0.0128,1,6
343,0.0128,1,6
344,0.0128,1,6
345,0.0128,1,6
346,0.0128,1,6
347,0.0128,1,6
348,0.0128,1,6
349,0.0128,1,6
350,0.0128,1,6
351,0.0128,1,6
352,0.0128,1,6
353,0.0128,1,6
354,0.0128,1,6
355,0.0128,1,6
356,0.0128,1,6
357,0.0128,1,6
358,0.0128,1,6
359,0.0128,1,6
360,0.0128,1,6
361,0.0128,1,6
362,0.0128,1,6
363,0.0128,1,6
364,0.0128,1,6
365,0.0128,1,6
366,0.0128,1,6
367,0.0128,1,6
368,0.0128,1,6
369,0.0128,1,6
370,0.0128,1,6
371,0.0128,1,6
372,0.0128,1,6
373,0.0128,1,6
374,0.0128,1,6
375,0.0128,1,6
376,0.0128,1,6
377,0.0128,1,6
378,0.0128,1,6
379,0.0128,1,6
380,0.0128,1,6
381,0.0128,1,6
382,0.0128,1,6
383,0.0128,1,6
384,0.0128,1,6
385,0.0128,1,6
386,0.0128,1,6
387,0.0128,1,6
388,0.0128,1,6
389,0.0128,1,6
390,0.0128,1,6
391,0.0128,1,6
392,0.0128,1,6
393,0.0128,1,6
394,0.0128,1,6
395,0.0128,1,6
396,0.0128,1,6
397,0.0128,1,6
398,0.0128,1,6
399,0.0128,1,6
400,0.0128,1,6
401,0.0128,1,6
402,0.0128,1,6
403,0.0128,1,6
404,0.0128,1,6
405,0.0128,1,6
406,0.0128,1,6
407,0.0128,1,6
408,0.0128,1,6
409,0.0128,1,6
410,0.0128,1,6
411,0.0128,1,6
412,0.0128,1,6
413,0.0128,1,6
414,0.0128,1,6
415,0.0128,1,6
416,0.0128,1,6
417,0.0128,1,6
418,0.0128,1,6
419,0.0128,1,6
420,0.0128,1,6
421,0.0128,1,6
422,0.0128,1,6
423,0.0128,1,6
424,0.0128,1,6
425,0.0128,1,6
426,0.0128,1,6
427,0.0128,1,6
428,0.0128,1,6
429,0.0128,1,6
430,0.0128,1,6
431,0.0128,1,6
432,0.0128,1,6
433,0.0128,1,6
434,0.0128,1,6
435,0.0128,1,6
436,0.0128,1,6
437,0.0128,1,6
438,0.0128,1,6
439,0.0128,1,6
440,0.0128,1,6
441,0.0128,1,6
442,0.0128,1,6
443,0.0128,1,6
444,0.0128,1,6
445,0.0128,1,6
446,0.0128,1,6
447,0.0128,1,6
448,0.0128,1,6
449,0.0128,1,6
450,0.0128,1,6
451,0.0128,1,6
452,0.0128,1,6
453,0.0128,1,6
454,0.0128,1,6
455,0.0128,1,6
456,0.0128,1,6
457,0.0128,1,6
458,0.0128,1,6
459,0.0128,1,6
460,0.0128,1,6
461,0.0128,1,6
462,0.0128,1,6
463,0.0128,1,6
464,0.0128,1,6
465,0.0128,1,6
466,0.0128,1,6
467,0.0128,1,6
468,0.0128,1,6
469,0.0128,1,6
470,0.0128,1,6
471,0.0128,1,6
472,0.0128,1,6
473,0.0128,1,6
474,0.0128,1,6
475,0.0128,1,6
476,0.0128,1,6
477,0.0128,1,6
478,0.0128,1,6
479,0.0128,1,6
480,0.0128,1,6
481,0.0128,1,6
482,0.0128,1,6
483,0.0128,1,6
484,0.0128,1,6
485,0.0128,1,6
486,0.0128,1,6
487,0.0128,1,6
488,0.0128,1,6
489,0.0128,1,6
490,0.0128,1,6
491,0.0128,1,6
492,0.0128,1,6
493,0.0128,1,6
494,0.0128,1,6
495,0.0128,1,6
496,0.0128,1,6
497,0.0128,1,6
498,0.0128,1,6
499,0.0128,1,6
500,0.0128,1,6
501,0.0128,1,6
502,0.0128,1,6
503,0.0128,1,6
