id,foi,gamma_num,gamma
1,0.0364,3,0.3333
2,0.0364,3,0.3333
3,0.0364,3,0.3333
4,0.0364,3,0.3333
5,0.0364,3,0.3333
6,0.0364,3,0.3333
7,0.0364,3,0.3333
8,0.0364,3,0.3333
9,0.0364,3,0.3333
10,0.0364,3,0.3333
11,0.0364,3,0.3333
12,0.0364,3,0.3333
13,0.0364,3,0.3333
14,0.0364,3,0.3333
15,0.0364,3,0.3333
16,0.0364,3,0.3333
17,0.0364,3,0.3333
18,0.0364,3,0.3333
19,0.0364,3,0.3333
20,0.0364,3,0.3333
21,0.0364,3,0.3333
22,0.0364,3,0.3333
23,0.0364,3,0.3333
24,0.0364,3,0.3333
25,0.0364,3,0.3333
26,0.0364,3,0.3333
27,0.0364,3,0.3333
28,0.0364,3,0.3333
29,0.0364,3,0.3333
30,0.0364,3,0.3333
31,0.0364,3,0.3333
32,0.0364,3,0.3333
33,0.0364,3,0.3333
34,0.0364,3,0.3333
35,0.0364,3,0.3333
36,0.0364,3,0.3333
37,0.0364,3,0.3333
38,0.0364,3,0.3333
39,0.0364,3,0.3333
40,0.0364,3,0.3333
41,0.0364,3,0.3333
42,0.0364,3,0.3333
43,0.0364,3,0.3333
44,0.0364,3,0.3333
45,0.0364,3,0.3333
46,0.0364,3,0.3333
47,0.0364,3,0.3333
48,0.0364,3,0.3333
49,0.0364,3,0.3333
50,0.0364,3,0.3333
51,0.0364,3,0.3333
52,0.0364,3,0.3333
53,0.0364,3,0.3333
54,0.0364,3,0.3333
55,0.0364,3,0.3333
56,0.0364,3,0.3333
57,0.0364,3,0.3333
58,0.0364,3,0.3333
59,0.0364,3,0.3333
60,0.0364,3,0.3333
61,0.0364,3,0.3333
62,0.0364,3,0.3333
63,0.0364,3,0.3333
64,0.0364,3,0.3333
65,0.0364,3,0.3333
66,0.0364,3,0.3333
67,0.0364,3,0.3333
68,0.0364,3,0.3333
69,0.0364,3,0.3333
70,0.0364,3,0.3333
71,0.0364,3,0.3333
72,0.0364,3,0.3333
73,0.0364,3,0.3333
74,0.0364,3,0.3333
75,0.0364,3,0.3333
76,0.0364,3,0.3333
77,0.0364,3,0.3333
78,0.0364,3,0.3333
79,0.0364,3,0.3333
80,0.0364,3,0.3333
81,0.0364,3,0.3333
82,0.0364,3,0.3333
83,0.0364,3,0.3333
84,0.0364,3,0.3333
85,0.0364,3,0.3333
86,0.0364,3,0.3333
87,0.0364,3,0.3333
88,0.0364,3,0.3333
89,0.0364,3,0.3333
90,0.0364,3,0.3333
91,0.0364,3,0.3333
92,0.0364,3,0.3333
93,0.0364,3,0.3333
94,0.0364,3,0.3333
95,0.0364,3,0.3333
96,0.0364,3,0.3333
97,0.0364,3,0.3333
98,0.0364,3,0.3333
99,0.0364,3,0.3333
100,0.0364,3,0.3333
101,0.0364,3,0.3333
102,0.0364,3,0.3333
103,0.0364,3,0.3333
104,0.0364,3,0.3333
105,0.0364,3,0.3333
106,0.0364,3,0.3333
107,0.0364,3,0.3333
108,0.0364,3,0.3333
109,0.0364,3,0.3333
110,0.0364,3,0.3333
111,0.0364,3,0.3333
112,0.0364,3,0.3333
113,0.0364,3,0.3333
114,0.0364,3,0.3333
115,0.0364,3,0.3333
116,0.0364,3,0.3333
117,0.0364,3,0.3333
118,0.0364,3,0.3333
119,0.0364,3,0.3333
120,0.0364,3,0.3333
121,0.0364,3,0.3333
122,0.0364,3,0.3333
123,0.0364,3,0.3333
124,0.0364,3,0.3333
125,0.0364,3,0.3333
126,0.0364,3,0.3333
127,0.0364,3,0.3333
128,0.0364,3,0.3333
129,0.0364,3,0.3333
130,0.0364,3,0.3333
131,0.0364,3,0.3333
132,0.0364,3,0.3333
133,0.0364,3,0.3333
134,0.0364,3,0.3333
135,0.0364,3,0.3333
136,0.0364,3,0.3333
137,0.0364,3,0.3333
138,0.0364,3,0.3333
139,0.0364,3,0.3333
140,0.0364,3,0.3333
141,0.0364,3,0.3333
142,0.0364,3,0.3333
143,0.0364,3,0.3333
144,0.0364,3,0.3333
145,0.0364,3,0.3333
146,0.0364,3,0.3333
147,0.0364,3,0.3333
148,0.0364,3,0.3333
149,0.0364,3,0.3333
150,0.0364,3,0.3333
151,0.0364,3,0.3333
152,0.0364,3,0.3333
153,0.0364,3,0.3333
154,0.0364,3,0.3333
155,0.0364,3,0.3333
156,0.0364,3,0.3333
157,0.0364,3,0.3333
158,0.0364,3,0.3333
159,0.0364,3,0.3333
160,0.0364,3,0.3333
161,0.0364,3,0.3333
162,0.0364,3,0.3333
163,0.0364,3,0.3333
164,0.0364,3,0.3333
165,0.0364,3,0.3333
166,0.0364,3,0.3333
167,0.0364,3,0.3333
168,0.0364,3,0.3333
169,0.0364,3,0.3333
170,0.0364,3,0.3333
171,0.0364,3,0.3333
172,0.0364,3,0.3333
173,0.0364,3,0.3333
174,0.0364,3,0.3333
175,0.0364,3,0.3333
176,0.0364,3,0.3333
177,0.0364,3,0.3333
178,0.0364,3,0.3333
179,0.0364,3,0.3333
180,0.0364,3,0.3333
181,0.0364,3,0.3333
182,0.0364,3,0.3333
183,0.0364,3,0.3333
184,0.0364,3,0.3333
185,0.0364,3,0.3333
186,0.0364,3,0.3333
187,0.0364,3,0.3333
188,0.0364,3,0.3333
189,0.0364,3,0.3333
190,0.0364,3,0.3333
191,0.0364,3,0.3333
192,0.0364,3,0.3333
193,0.0364,3,0.3333
194,0.0364,3,0.3333
195,0.0364,3,0.3333
196,0.0364,3,0.3333
197,0.0364,3,0.3333
198,0.0364,3,0.3333
199,0.0364,3,0.3333
200,0.0364,3,0.3333
201,0.0364,3,0.3333
202,0.0364,3,0.3333
203,0.0364,3,0.3333
204,0.0364,3,0.3333
205,0.0364,3,0.3333
206,0.0364,3,0.3333
207,0.0364,3,0.3333
208,0.0364,3,0.3333
209,0.0364,3,0.3333
210,0.0364,3,0.3333
211,0.0364,3,0.3333
212,0.0364,3,0.3333
213,0.0364,3,0.3333
214,0.0364,3,0.3333
215,0.0364,3,0.3333
216,0.0364,3,0.3333
217,0.0364,3,0.3333
218,0.0364,3,0.3333
219,0.0364,3,0.3333
220,0.0364,3,0.3333
221,0.0364,3,0.3333
222,0.0364,3,0.3333
223,0.0364,3,0.3333
224,0.0364,3,0.3333
225,0.0364,3,0.3333
226,0.0364,3,0.3333
227,0.0364,3,0.3333
228,0.0364,3,0.3333
229,0.0364,3,0.3333
230,0.0364,3,0.3333
231,0.0364,3,0.3333
232,0.0364,3,0.3333
233,0.0364,3,0.3333
234,0.0364,3,0.3333
235,0.0364,3,0.3333
236,0.0364,3,0.3333
237,0.0364,3,0.3333
238,0.0364,3,0.3333
239,0.0364,3,0.3333
240,0.0364,3,0.3333
241,0.0364,3,0.3333
242,0.0364,3,0.3333
243,0.0364,3,0.3333
244,0.0364,3,0.3333
245,0.0364,3,0.3333
246,0.0364,3,0.3333
247,0.0364,3,0.3333
248,0.0364,3,0.3333
249,0.0364,3,0.3333
250,0.0364,3,0.3333
251,0.0364,3,0.3333
252,0.0364,3,0.3333
253,0.0364,3,0.3333
254,0.0364,3,0.3333
255,0.0364,3,0.3333
256,0.0364,3,0.3333
257,0.0364,3,0.3333
258,0.0364,3,0.3333
259,0.0364,3,0.3333
260,0.0364,3,0.3333
261,0.0364,3,0.3333
262,0.0364,3,0.3333
263,0.0364,3,0.3333
264,0.0364,3,0.3333
265,0.0364,3,0.3333
266,0.0364,3,0.3333
267,0.0364,3,0.3333
268,0.0364,3,0.3333
269,0.0364,3,0.3333
270,0.0364,3,0.3333
271,0.0364,3,0.3333
272,0.0364,3,0.3333
273,0.0364,3,0.3333
274,0.0364,3,0.3333
275,0.0364,3,0.3333
276,0.0364,3,0.3333
277,0.0364,3,0.3333
278,0.0364,3,0.3333
279,0.0364,3,0.3333
280,0.0364,3,0.3333
281,0.0364,3,0.3333
282,0.0364,3,0.3333
283,0.0364,3,0.3333
