id,foi,gamma_num,gamma
1,0.0306,6,0.1667
2,0.0306,6,0.1667
3,0.0306,6,0.1667
4,0.0306,6,0.1667
5,0.0306,6,0.1667
6,0.0306,6,0.1667
7,0.0306,6,0.1667
8,0.0306,6,0.1667
9,0.0306,6,0.1667
10,0.0306,6,0.1667
11,0.0306,6,0.1667
12,0.0306,6,0.1667
13,0.0306,6,0.1667
14,0.0306,6,0.1667
15,0.0306,6,0.1667
16,0.0306,6,0.1667
17,0.0306,6,0.1667
18,0.0306,6,0.1667
19,0.0306,6,0.1667
20,0.0306,6,0.1667
21,0.0306,6,0.1667
22,0.0306,6,0.1667
23,0.0306,6,0.1667
24,0.0306,6,0.1667
25,0.0306,6,0.1667
26,0.0306,6,0.1667
27,0.0306,6,0.1667
28,0.0306,6,0.1667
29,0.0306,6,0.1667
30,0.0306,6,0.1667
31,0.0306,6,0.1667
32,0.0306,6,0.1667
33,0.0306,6,0.1667
34,0.0306,6,0.1667
35,0.0306,6,0.1667
36,0.0306,6,0.1667
37,0.0306,6,0.1667
38,0.0306,6,0.1667
39,0.0306,6,0.1667
40,0.0306,6,0.1667
41,0.0306,6,0.1667
42,0.0306,6,0.1667
43,0.0306,6,0.1667
44,0.0306,6,0.1667
45,0.0306,6,0.1667
46,0.0306,6,0.1667
47,0.0306,6,0.1667
48,0.0306,6,0.1667
49,0.0306,6,0.1667
50,0.0306,6,0.1667
51,0.0306,6,0.1667
52,0.0306,6,0.1667
53,0.0306,6,0.1667
54,0.0306,6,0.1667
55,0.0306,6,0.1667
56,0.0306,6,0.1667
57,0.0306,6,0.1667
58,0.0306,6,0.1667
59,0.0306,6,0.1667
60,0.0306,6,0.1667
61,0.0306,6,0.1667
62,0.0306,6,0.1667
63,0.0306,6,0.1667
64,0.0306,6,0.1667
65,0.0306,6,0.1667
66,0.0306,6,0.1667
67,0.0306,6,0.1667
68,0.0306,6,0.1667
69,0.0306,6,0.1667
70,0.0306,6,0.1667
71,0.0306,6,0.1667
72,0.0306,6,0.1667
73,0.0306,6,0.1667
74,0.0306,6,0.1667
75,0.0306,6,0.1667
76,0.0306,6,0.1667
77,0.0306,6,0.1667
78,0.0306,6,0.1667
79,0.0306,6,0.1667
80,0.0306,6,0.1667
