id,foi,gamma_num,gamma
1,0.0084,13,0.0769
2,0.0084,13,0.0769
3,0.0084,13,0.0769
4,0.0084,13,0.0769
5,0.0084,13,0.0769
6,0.0084,13,0.0769
7,0.0084,13,0.0769
8,0.0084,13,0.0769
9,0.0084,13,0.0769
10,0.0084,13,0.0769
11,0.0084,13,0.0769
12,0.0084,13,0.0769
13,0.0084,13,0.0769
14,0.0084,13,0.0769
15,0.0084,13,0.0769
16,0.0084,13,0.0769
17,0.0084,13,0.0769
18,0.0084,13,0.0769
19,0.0084,13,0.0769
20,0.0084,13,0.0769
21,0.0084,13,0.0769
22,0.0084,13,0.0769
23,0.0084,13,0.0769
24,0.0084,13,0.0769
25,0.0084,13,0.0769
26,0.0084,13,0.0769
27,0.0084,13,0.0769
28,0.0084,13,0.0769
29,0.0084,13,0.0769
30,0.0084,13,0.0769
31,0.0084,13,0.0769
32,0.0084,13,0.0769
33,0.0084,13,0.0769
34,0.0084,13,0.0769
35,0.0084,13,0.0769
36,0.0084,13,0.0769
37,0.0084,13,0.0769
38,0.0084,13,0.0769
39,0.0084,13,0.0769
40,0.0084,13,0.0769
41,0.0084,13,0.0769
42,0.0084,13,0.0769
43,0.0084,13,0.0769
44,0.0084,13,0.0769
45,0.0084,13,0.0769
46,0.0084,13,0.0769
47,0.0084,13,0.0769
48,0.0084,13,0.0769
49,0.0084,13,0.0769
50,0.0084,13,0.0769
51,0.0084,13,0.0769
52,0.0084,13,0.0769
53,0.0084,13,0.0769
54,0.0084,13,0.0769
55,0.0084,13,0.0769
56,0.0084,13,0.0769
57,0.0084,13,0.0769
58,0.0084,13,0.0769
59,0.0084,13,0.0769
60,0.0084,13,0.0769
61,0.0084,13,0.0769
62,0.0084,13,0.0769
63,0.0084,13,0.0769
64,0.0084,13,0.0769
65,0.0084,13,0.0769
66,0.0084,13,0.0769
67,0.0084,13,0.0769
68,0.0084,13,0.0769
69,0.0084,13,0.0769
70,0.0084,13,0.0769
71,0.0084,13,0.0769
72,0.0084,13,0.0769
73,0.0084,13,0.0769
74,0.0084,13,0.0769
75,0.0084,13,0.0769
76,0.0084,13,0.0769
77,0.0084,13,0.0769
78,0.0084,13,0.0769
79,0.0084,13,0.0769
80,0.0084,13,0.0769
81,0.0084,13,0.0769
82,0.0084,13,0.0769
83,0.0084,13,0.0769
84,0.0084,13,0.0769
85,0.0084,13,0.0769
86,0.0084,13,0.0769
87,0.0084,13,0.0769
88,0.0084,13,0.0769
89,0.0084,13,0.0769
90,0.0084,13,0.0769
91,0.0084,13,0.0769
92,0.0084,13,0.0769
93,0.0084,13,0.0769
94,0.0084,13,0.0769
95,0.0084,13,0.0769
96,0.0084,13,0.0769
97,0.0084,13,0.0769
98,0.0084,13,0.0769
99,0.0084,13,0.0769
100,0.0084,13,0.0769
101,0.0084,13,0.0769
102,0.0084,13,0.0769
103,0.0084,13,0.0769
104,0.0084,13,0.0769
105,0.0084,13,0.0769
106,0.0084,13,0.0769
107,0.0084,13,0.0769
108,0.0084,13,0.0769
109,0.0084,13,0.0769
110,0.0084,13,0.0769
111,0.0084,13,0.0769
112,0.0084,13,0.0769
113,0.0084,13,0.0769
114,0.0084,13,0.0769
115,0.0084,13,0.0769
116,0.0084,13,0.0769
117,0.0084,13,0.0769
118,0.0084,13,0.0769
119,0.0084,13,0.0769
120,0.0084,13,0.0769
121,0.0084,13,0.0769
122,0.0084,13,0.0769
123,0.0084,13,0.0769
124,0.0084,13,0.0769
125,0.0084,13,0.0769
126,0.0084,13,0.0769
127,0.0084,13,0.0769
128,0.0084,13,0.0769
129,0.0084,13,0.0769
130,0.0084,13,0.0769
131,0.0084,13,0.0769
132,0.0084,13,0.0769
133,0.0084,13,0.0769
134,0.0084,13,0.0769
135,0.0084,13,0.0769
136,0.0084,13,0.0769
137,0.0084,13,0.0769
138,0.0084,13,0.0769
139,0.0084,13,0.0769
140,0.0084,13,0.0769
141,0.0084,13,0.0769
142,0.0084,13,0.0769
143,0.0084,13,0.0769
144,0.0084,13,0.0769
145,0.0084,13,0.0769
146,0.0084,13,0.0769
147,0.0084,13,0.0769
148,0.0084,13,0.0769
149,0.0084,13,0.0769
150,0.0084,13,0.0769
151,0.0084,13,0.0769
152,0.0084,13,0.0769
153,0.0084,13,0.0769
154,0.0084,13,0.0769
155,0.0084,13,0.0769
156,0.0084,13,0.0769
157,0.0084,13,0.0769
158,0.0084,13,0.0769
159,0.0084,13,0.0769
160,0.0084,13,0.0769
161,0.0084,13,0.0769
162,0.0084,13,0.0769
163,0.0084,13,0.0769
164,0.0084,13,0.0769
165,0.0084,13,0.0769
166,0.0084,13,0.0769
167,0.0084,13,0.0769
168,0.0084,13,0.0769
169,0.0084,13,0.0769
170,0.0084,13,0.0769
171,0.0084,13,0.0769
172,0.0084,13,0.0769
173,0.0084,13,0.0769
174,0.0084,13,0.0769
175,0.0084,13,0.0769
176,0.0084,13,0.0769
177,0.0084,13,0.0769
178,0.0084,13,0.0769
179,0.0084,13,0.0769
180,0.0084,13,0.0769
181,0.0084,13,0.0769
182,0.0084,13,0.0769
183,0.0084,13,0.0769
184,0.0084,13,0.0769
185,0.0084,13,0.0769
186,0.0084,13,0.0769
187,0.0084,13,0.0769
188,0.0084,13,0.0769
189,0.0084,13,0.0769
190,0.0084,13,0.0769
191,0.0084,13,0.0769
192,0.0084,13,0.0769
193,0.0084,13,0.0769
194,0.0084,13,0.0769
195,0.0084,13,0.0769
196,0.0084,13,0.0769
197,0.0084,13,0.0769
198,0.0084,13,0.0769
199,0.0084,13,0.0769
200,0.0084,13,0.0769
201,0.0084,13,0.0769
202,0.0084,13,0.0769
203,0.0084,13,0.0769
204,0.0084,13,0.0769
205,0.0084,13,0.0769
206,0.0084,13,0.0769
207,0.0084,13,0.0769
208,0.0084,13,0.0769
209,0.0084,13,0.0769
210,0.0084,13,0.0769
211,0.0084,13,0.0769
212,0.0084,13,0.0769
213,0.0084,13,0.0769
214,0.0084,13,0.0769
215,0.0084,13,0.0769
216,0.0084,13,0.0769
217,0.0084,13,0.0769
218,0.0084,13,0.0769
219,0.0084,13,0.0769
220,0.0084,13,0.0769
221,0.0084,13,0.0769
222,0.0084,13,0.0769
223,0.0084,13,0.0769
224,0.0084,13,0.0769
225,0.0084,13,0.0769
226,0.0084,13,0.0769
227,0.0084,13,0.0769
228,0.0084,13,0.0769
229,0.0084,13,0.0769
230,0.0084,13,0.0769
231,0.0084,13,0.0769
232,0.0084,13,0.0769
233,0.0084,13,0.0769
234,0.0084,13,0.0769
235,0.0084,13,0.0769
236,0.0084,13,0.0769
237,0.0084,13,0.0769
238,0.0084,13,0.0769
239,0.0084,13,0.0769
240,0.0084,13,0.0769
241,0.0084,13,0.0769
242,0.0084,13,0.0769
243,0.0084,13,0.0769
244,0.0084,13,0.0769
245,0.0084,13,0.0769
246,0.0084,13,0.0769
247,0.0084,13,0.0769
248,0.0084,13,0.0769
249,0.0084,13,0.0769
250,0.0084,13,0.0769
251,0.0084,13,0.0769
252,0.0084,13,0.0769
253,0.0084,13,0.0769
254,0.0084,13,0.0769
255,0.0084,13,0.0769
256,0.0084,13,0.0769
257,0.0084,13,0.0769
258,0.0084,13,0.0769
259,0.0084,13,0.0769
260,0.0084,13,0.0769
261,0.0084,13,0.0769
262,0.0084,13,0.0769
263,0.0084,13,0.0769
264,0.0084,13,0.0769
265,0.0084,13,0.0769
266,0.0084,13,0.0769
267,0.0084,13,0.0769
268,0.0084,13,0.0769
269,0.0084,13,0.0769
270,0.0084,13,0.0769
271,0.0084,13,0.0769
272,0.0084,13,0.0769
273,0.0084,13,0.0769
274,0.0084,13,0.0769
275,0.0084,13,0.0769
276,0.0084,13,0.0769
277,0.0084,13,0.0769
278,0.0084,13,0.0769
279,0.0084,13,0.0769
280,0.0084,13,0.0769
281,0.0084,13,0.0769
282,0.0084,13,0.0769
283,0.0084,13,0.0769
284,0.0084,13,0.0769
285,0.0084,13,0.0769
286,0.0084,13,0.0769
287,0.0084,13,0.0769
288,0.0084,13,0.0769
289,0.0084,13,0.0769
290,0.0084,13,0.0769
291,0.0084,13,0.0769
292,0.0084,13,0.0769
293,0.0084,13,0.0769
294,0.0084,13,0.0769
295,0.0084,13,0.0769
296,0.0084,13,0.0769
297,0.0084,13,0.0769
298,0.0084,13,0.0769
299,0.0084,13,0.0769
300,0.0084,13,0.0769
301,0.0084,13,0.0769
302,0.0084,13,0.0769
303,0.0084,13,0.0769
304,0.0084,13,0.0769
305,0.0084,13,0.0769
306,0.0084,13,0.0769
307,0.0084,13,0.0769
308,0.0084,13,0.0769
309,0.0084,13,0.0769
310,0.0084,13,0.0769
311,0.0084,13,0.0769
