id,foi,wave
1,0.0979,11
2,0.0979,11
3,0.0979,11
4,0.0979,11
5,0.0979,11
6,0.0979,11
7,0.0979,11
8,0.0979,11
9,0.0979,11
10,0.0979,11
11,0.0979,11
12,0.0979,11
13,0.0979,11
14,0.0979,11
15,0.0979,11
16,0.0979,11
17,0.0979,11
18,0.0979,11
19,0.0979,11
20,0.0979,11
21,0.0979,11
22,0.0979,11
23,0.0979,11
24,0.0979,11
25,0.0979,11
26,0.0979,11
27,0.0979,11
28,0.0979,11
29,0.0979,11
30,0.0979,11
31,0.0979,11
32,0.0979,11
33,0.0979,11
34,0.0979,11
35,0.0979,11
36,0.0979,11
37,0.0979,11
38,0.0979,11
39,0.0979,11
40,0.0979,11
41,0.0979,11
42,0.0979,11
43,0.0979,11
44,0.0979,11
45,0.0979,11
46,0.0979,11
47,0.0979,11
48,0.0979,11
49,0.0979,11
50,0.0979,11
51,0.0979,11
52,0.0979,11
53,0.0979,11
54,0.0979,11
55,0.0979,11
56,0.0979,11
57,0.0979,11
58,0.0979,11
59,0.0979,11
60,0.0979,11
61,0.0979,11
62,0.0979,11
63,0.0979,11
64,0.0979,11
65,0.0979,11
66,0.0979,11
67,0.0979,11
68,0.0979,11
69,0.0979,11
70,0.0979,11
71,0.0979,11
72,0.0979,11
73,0.0979,11
74,0.0979,11
75,0.0979,11
76,0.0979,11
77,0.0979,11
78,0.0979,11
79,0.0979,11
80,0.0979,11
81,0.0979,11
82,0.0979,11
83,0.0979,11
84,0.0979,11
85,0.0979,11
86,0.0979,11
87,0.0979,11
88,0.0979,11
89,0.0979,11
90,0.0979,11
91,0.0979,11
92,0.0979,11
93,0.0979,11
94,0.0979,11
95,0.0979,11
96,0.0979,11
97,0.0979,11
98,0.0979,11
99,0.0979,11
100,0.0979,11
101,0.0979,11
102,0.0979,11
103,0.0979,11
104,0.0979,11
105,0.0979,11
106,0.0979,11
107,0.0979,11
108,0.0979,11
109,0.0979,11
110,0.0979,11
111,0.0979,11
112,0.0979,11
113,0.0979,11
114,0.0979,11
115,0.0979,11
116,0.0979,11
117,0.0979,11
118,0.0979,11
119,0.0979,11
120,0.0979,11
121,0.0979,11
122,0.0979,11
123,0.0979,11
124,0.0979,11
125,0.0979,11
126,0.0979,11
127,0.0979,11
128,0.0979,11
129,0.0979,11
130,0.0979,11
131,0.0979,11
132,0.0979,11
133,0.0979,11
134,0.0979,11
135,0.0979,11
136,0.0979,11
137,0.0979,11
138,0.0979,11
139,0.0979,11
140,0.0979,11
141,0.0979,11
142,0.0979,11
143,0.0979,11
144,0.0979,11
145,0.0979,11
146,0.0979,11
147,0.0979,11
148,0.0979,11
149,0.0979,11
150,0.0979,11
151,0.0979,11
152,0.0979,11
153,0.0979,11
154,0.0979,11
155,0.0979,11
156,0.0979,11
157,0.0979,11
158,0.0979,11
159,0.0979,11
160,0.0979,11
161,0.0979,11
162,0.0979,11
163,0.0979,11
164,0.0979,11
165,0.0979,11
166,0.0979,11
167,0.0979,11
168,0.0979,11
169,0.0979,11
170,0.0979,11
171,0.0979,11
172,0.0979,11
173,0.0979,11
174,0.0979,11
175,0.0979,11
176,0.0979,11
177,0.0979,11
178,0.0979,11
179,0.0979,11
180,0.0979,11
181,0.0979,11
182,0.0979,11
183,0.0979,11
184,0.0979,11
185,0.0979,11
186,0.0979,11
187,0.0979,11
188,0.0979,11
189,0.0979,11
190,0.0979,11
191,0.0979,11
192,0.0979,11
193,0.0979,11
194,0.0979,11
195,0.0979,11
196,0.0979,11
197,0.0979,11
198,0.0979,11
199,0.0979,11
200,0.0979,11
201,0.0979,11
202,0.0979,11
203,0.0979,11
204,0.0979,11
205,0.0979,11
206,0.0979,11
207,0.0979,11
208,0.0979,11
209,0.0979,11
210,0.0979,11
211,0.0979,11
212,0.0979,11
213,0.0979,11
214,0.0979,11
215,0.0979,11
216,0.0979,11
217,0.0979,11
218,0.0979,11
219,0.0979,11
220,0.0979,11
221,0.0979,11
222,0.0979,11
223,0.0979,11
224,0.0979,11
225,0.0979,11
226,0.0979,11
227,0.0979,11
228,0.0979,11
229,0.0979,11
230,0.0979,11
231,0.0979,11
232,0.0979,11
233,0.0979,11
234,0.0979,11
235,0.0979,11
236,0.0979,11
237,0.0979,11
238,0.0979,11
239,0.0979,11
240,0.0979,11
241,0.0979,11
242,0.0979,11
243,0.0979,11
244,0.0979,11
245,0.0979,11
246,0.0979,11
247,0.0979,11
248,0.0979,11
249,0.0979,11
250,0.0979,11
251,0.0979,11
252,0.0979,11
253,0.0979,11
254,0.0979,11
255,0.0979,11
256,0.0979,11
257,0.0979,11
258,0.0979,11
259,0.0979,11
260,0.0979,11
261,0.0979,11
262,0.0979,11
263,0.0979,11
264,0.0979,11
265,0.0979,11
266,0.0979,11
267,0.0979,11
268,0.0979,11
269,0.0979,11
270,0.0979,11
271,0.0979,11
272,0.0979,11
273,0.0979,11
274,0.0979,11
275,0.0979,11
276,0.0979,11
277,0.0979,11
278,0.0979,11
279,0.0979,11
280,0.0979,11
281,0.0979,11
282,0.0979,11
283,0.0979,11
284,0.0979,11
285,0.0979,11
286,0.0979,11
287,0.0979,11
288,0.0979,11
289,0.0979,11
290,0.0979,11
291,0.0979,11
292,0.0979,11
293,0.0979,11
294,0.0979,11
295,0.0979,11
296,0.0979,11
297,0.0979,11
298,0.0979,11
299,0.0979,11
300,0.0979,11
301,0.0979,11
302,0.0979,11
303,0.0979,11
304,0.0979,11
305,0.0979,11
306,0.0979,11
307,0.0979,11
308,0.0979,11
309,0.0979,11
310,0.0979,11
311,0.0979,11
312,0.0979,11
313,0.0979,11
314,0.0979,11
315,0.0979,11
316,0.0979,11
317,0.0979,11
318,0.0979,11
319,0.0979,11
320,0.0979,11
321,0.0979,11
322,0.0979,11
323,0.0979,11
324,0.0979,11
325,0.0979,11
326,0.0979,11
327,0.0979,11
328,0.0979,11
329,0.0979,11
330,0.0979,11
331,0.0979,11
332,0.0979,11
333,0.0979,11
334,0.0979,11
335,0.0979,11
336,0.0979,11
337,0.0979,11
338,0.0979,11
339,0.0979,11
340,0.0979,11
341,0.0979,11
342,0.0979,11
343,0.0979,11
344,0.0979,11
345,0.0979,11
346,0.0979,11
347,0.0979,11
348,0.0979,11
349,0.0979,11
350,0.0979,11
351,0.0979,11
352,0.0979,11
353,0.0979,11
354,0.0979,11
