id,foi,R0,wave
290,0.1558,1,27
291,0.1558,1,27
292,0.1558,1,27
293,0.1558,1,27
294,0.1558,1,27
295,0.1558,1,27
296,0.1558,1,27
297,0.1558,1,27
298,0.1558,1,27
299,0.1558,1,27
300,0.1558,1,27
301,0.1558,1,27
302,0.1558,1,27
303,0.1558,1,27
304,0.1558,1,27
305,0.1558,1,27
306,0.1558,1,27
307,0.1558,1,27
308,0.1558,1,27
309,0.1558,1,27
310,0.1558,1,27
311,0.1558,1,27
312,0.1558,1,27
313,0.1558,1,27
314,0.1558,1,27
315,0.1558,1,27
316,0.1558,1,27
317,0.1558,1,27
318,0.1558,1,27
319,0.1558,1,27
320,0.1558,1,27
321,0.1558,1,27
322,0.1558,1,27
323,0.1558,1,27
324,0.1558,1,27
325,0.1558,1,27
326,0.1558,1,27
327,0.1558,1,27
328,0.1558,1,27
329,0.1558,1,27
330,0.1558,1,27
331,0.1558,1,27
332,0.1558,1,27
333,0.1558,1,27
334,0.1558,1,27
335,0.1558,1,27
336,0.1558,1,27
337,0.1558,1,27
338,0.1558,1,27
339,0.1558,1,27
340,0.1558,1,27
341,0.1558,1,27
342,0.1558,1,27
343,0.1558,1,27
344,0.1558,1,27
345,0.1558,1,27
346,0.1558,1,27
347,0.1558,1,27
348,0.1558,1,27
349,0.1558,1,27
350,0.1558,1,27
351,0.1558,1,27
352,0.1558,1,27
353,0.1558,1,27
354,0.1558,1,27
355,0.1558,1,27
356,0.1558,1,27
357,0.1558,1,27
358,0.1558,1,27
359,0.1558,1,27
360,0.1558,1,27
361,0.1558,1,27
362,0.1558,1,27
363,0.1558,1,27
364,0.1558,1,27
365,0.1558,1,27
366,0.1558,1,27
367,0.1558,1,27
368,0.1558,1,27
369,0.1558,1,27
370,0.1558,1,27
371,0.1558,1,27
372,0.1558,1,27
373,0.1558,1,27
374,0.1558,1,27
375,0.1558,1,27
376,0.1558,1,27
377,0.1558,1,27
378,0.1558,1,27
379,0.1558,1,27
380,0.1558,1,27
381,0.1558,1,27
382,0.1558,1,27
383,0.1558,1,27
384,0.1558,1,27
385,0.1558,1,27
386,0.1558,1,27
387,0.1558,1,27
388,0.1558,1,27
389,0.1558,1,27
390,0.1558,1,27
391,0.1558,1,27
392,0.1558,1,27
393,0.1558,1,27
394,0.1558,1,27
395,0.1558,1,27
396,0.1558,1,27
397,0.1558,1,27
398,0.1558,1,27
399,0.1558,1,27
400,0.1558,1,27
401,0.1558,1,27
402,0.1558,1,27
403,0.1558,1,27
404,0.1558,1,27
405,0.1558,1,27
406,0.1558,1,27
407,0.1558,1,27
408,0.1558,1,27
409,0.1558,1,27
410,0.1558,1,27
411,0.1558,1,27
412,0.1558,1,27
413,0.1558,1,27
414,0.1558,1,27
415,0.1558,1,27
416,0.1558,1,27
417,0.1558,1,27
418,0.1558,1,27
419,0.1558,1,27
420,0.1558,1,27
421,0.1558,1,27
422,0.1558,1,27
423,0.1558,1,27
424,0.1558,1,27
425,0.1558,1,27
426,0.1558,1,27
427,0.1558,1,27
428,0.1558,1,27
429,0.1558,1,27
430,0.1558,1,27
431,0.1558,1,27
432,0.1558,1,27
433,0.1558,1,27
434,0.1558,1,27
435,0.1558,1,27
436,0.1558,1,27
437,0.1558,1,27
438,0.1558,1,27
439,0.1558,1,27
440,0.1558,1,27
441,0.1558,1,27
442,0.1558,1,27
443,0.1558,1,27
444,0.1558,1,27
445,0.1558,1,27
446,0.1558,1,27
447,0.1558,1,27
448,0.1558,1,27
449,0.1558,1,27
450,0.1558,1,27
451,0.1558,1,27
452,0.1558,1,27
453,0.1558,1,27
454,0.1558,1,27
455,0.1558,1,27
456,0.1558,1,27
457,0.1558,1,27
458,0.1558,1,27
459,0.1558,1,27
460,0.1558,1,27
461,0.1558,1,27
462,0.1558,1,27
463,0.1558,1,27
464,0.1558,1,27
465,0.1558,1,27
466,0.1558,1,27
467,0.1558,1,27
468,0.1558,1,27
469,0.1558,1,27
470,0.1558,1,27
471,0.1558,1,27
472,0.1558,1,27
473,0.1558,1,27
474,0.1558,1,27
475,0.1558,1,27
476,0.1558,1,27
477,0.1558,1,27
478,0.1558,1,27
479,0.1558,1,27
480,0.1558,1,27
481,0.1558,1,27
482,0.1558,1,27
483,0.1558,1,27
484,0.1558,1,27
485,0.1558,1,27
486,0.1558,1,27
487,0.1558,1,27
488,0.1558,1,27
489,0.1558,1,27
490,0.1558,1,27
491,0.1558,1,27
492,0.1558,1,27
493,0.1558,1,27
494,0.1558,1,27
495,0.1558,1,27
496,0.1558,1,27
497,0.1558,1,27
498,0.1558,1,27
499,0.1558,1,27
500,0.1558,1,27
501,0.1558,1,27
502,0.1558,1,27
503,0.1558,1,27
504,0.1558,1,27
505,0.1558,1,27
506,0.1558,1,27
507,0.1558,1,27
508,0.1558,1,27
509,0.1558,1,27
510,0.1558,1,27
511,0.1558,1,27
512,0.1558,1,27
513,0.1558,1,27
514,0.1558,1,27
515,0.1558,1,27
516,0.1558,1,27
517,0.1558,1,27
518,0.1558,1,27
519,0.1558,1,27
520,0.1558,1,27
521,0.1558,1,27
522,0.1558,1,27
523,0.1558,1,27
524,0.1558,1,27
525,0.1558,1,27
526,0.1558,1,27
527,0.1558,1,27
528,0.1558,1,27
529,0.1558,1,27
530,0.1558,1,27
531,0.1558,1,27
532,0.1558,1,27
533,0.1558,1,27
534,0.1558,1,27
535,0.1558,1,27
536,0.1558,1,27
537,0.1558,1,27
538,0.1558,1,27
539,0.1558,1,27
540,0.1558,1,27
541,0.1558,1,27
542,0.1558,1,27
543,0.1558,1,27
544,0.1558,1,27
545,0.1558,1,27
546,0.1558,1,27
547,0.1558,1,27
548,0.1558,1,27
549,0.1558,1,27
550,0.1558,1,27
551,0.1558,1,27
552,0.1558,1,27
553,0.1558,1,27
554,0.1558,1,27
555,0.1558,1,27
556,0.1558,1,27
557,0.1558,1,27
558,0.1558,1,27
559,0.1558,1,27
560,0.1558,1,27
561,0.1558,1,27
562,0.1558,1,27
563,0.1558,1,27
564,0.1558,1,27
565,0.1558,1,27
566,0.1558,1,27
567,0.1558,1,27
568,0.1558,1,27
569,0.1558,1,27
570,0.1558,1,27
571,0.1558,1,27
572,0.1558,1,27
573,0.1558,1,27
574,0.1558,1,27
575,0.1558,1,27
576,0.1558,1,27
577,0.1558,1,27
578,0.1558,1,27
579,0.1558,1,27
580,0.1558,1,27
581,0.1558,1,27
582,0.1558,1,27
583,0.1558,1,27
584,0.1558,1,27
585,0.1558,1,27
586,0.1558,1,27
587,0.1558,1,27
588,0.1558,1,27
589,0.1558,1,27
590,0.1558,1,27
591,0.1558,1,27
592,0.1558,1,27
593,0.1558,1,27
594,0.1558,1,27
595,0.1558,1,27
596,0.1558,1,27
597,0.1558,1,27
598,0.1558,1,27
599,0.1558,1,27
600,0.1558,1,27
601,0.1558,1,27
602,0.1558,1,27
603,0.1558,1,27
604,0.1558,1,27
605,0.1558,1,27
606,0.1558,1,27
607,0.1558,1,27
608,0.1558,1,27
609,0.1558,1,27
610,0.1558,1,27
611,0.1558,1,27
612,0.1558,1,27
613,0.1558,1,27
614,0.1558,1,27
615,0.1558,1,27
616,0.1558,1,27
617,0.1558,1,27
618,0.1558,1,27
619,0.1558,1,27
620,0.1558,1,27
621,0.1558,1,27
622,0.1558,1,27
623,0.1558,1,27
624,0.1558,1,27
625,0.1558,1,27
626,0.1558,1,27
627,0.1558,1,27
628,0.1558,1,27
629,0.1558,1,27
630,0.1558,1,27
631,0.1558,1,27
632,0.1558,1,27
633,0.1558,1,27
634,0.1558,1,27
635,0.1558,1,27
636,0.1558,1,27
637,0.1558,1,27
638,0.1558,1,27
639,0.1558,1,27
640,0.1558,1,27
641,0.1558,1,27
642,0.1558,1,27
643,0.1558,1,27
644,0.1558,1,27
645,0.1558,1,27
646,0.1558,1,27
647,0.1558,1,27
648,0.1558,1,27
649,0.1558,1,27
650,0.1558,1,27
651,0.1558,1,27
652,0.1558,1,27
653,0.1558,1,27
654,0.1558,1,27
655,0.1558,1,27
656,0.1558,1,27
657,0.1558,1,27
658,0.1558,1,27
659,0.1558,1,27
660,0.1558,1,27
661,0.1558,1,27
662,0.1558,1,27
663,0.1558,1,27
664,0.1558,1,27
665,0.1558,1,27
666,0.1558,1,27
667,0.1558,1,27
668,0.1558,1,27
669,0.1558,1,27
670,0.1558,1,27
671,0.1558,1,27
672,0.1558,1,27
673,0.1558,1,27
674,0.1558,1,27
675,0.1558,1,27
676,0.1558,1,27
677,0.1558,1,27
678,0.1558,1,27
679,0.1558,1,27
680,0.1558,1,27
681,0.1558,1,27
682,0.1558,1,27
683,0.1558,1,27
684,0.1558,1,27
685,0.1558,1,27
686,0.1558,1,27
687,0.1558,1,27
688,0.1558,1,27
689,0.1558,1,27
690,0.1558,1,27
691,0.1558,1,27
692,0.1558,1,27
693,0.1558,1,27
694,0.1558,1,27
695,0.1558,1,27
696,0.1558,1,27
697,0.1558,1,27
698,0.1558,1,27
699,0.1558,1,27
700,0.1558,1,27
701,0.1558,1,27
702,0.1558,1,27
703,0.1558,1,27
704,0.1558,1,27
705,0.1558,1,27
706,0.1558,1,27
707,0.1558,1,27
708,0.1558,1,27
709,0.1558,1,27
710,0.1558,1,27
711,0.1558,1,27
712,0.1558,1,27
713,0.1558,1,27
714,0.1558,1,27
715,0.1558,1,27
716,0.1558,1,27
717,0.1558,1,27
718,0.1558,1,27
719,0.1558,1,27
720,0.1558,1,27
721,0.1558,1,27
722,0.1558,1,27
723,0.1558,1,27
724,0.1558,1,27
725,0.1558,1,27
726,0.1558,1,27
727,0.1558,1,27
728,0.1558,1,27
729,0.1558,1,27
730,0.1558,1,27
731,0.1558,1,27
732,0.1558,1,27
733,0.1558,1,27
734,0.1558,1,27
735,0.1558,1,27
736,0.1558,1,27
737,0.1558,1,27
738,0.1558,1,27
739,0.1558,1,27
740,0.1558,1,27
741,0.1558,1,27
742,0.1558,1,27
743,0.1558,1,27
744,0.1558,1,27
745,0.1558,1,27
746,0.1558,1,27
747,0.1558,1,27
748,0.1558,1,27
749,0.1558,1,27
750,0.1558,1,27
751,0.1558,1,27
752,0.1558,1,27
753,0.1558,1,27
754,0.1558,1,27
755,0.1558,1,27
756,0.1558,1,27
757,0.1558,1,27
758,0.1558,1,27
759,0.1558,1,27
760,0.1558,1,27
761,0.1558,1,27
762,0.1558,1,27
763,0.1558,1,27
764,0.1558,1,27
765,0.1558,1,27
766,0.1558,1,27
767,0.1558,1,27
768,0.1558,1,27
769,0.1558,1,27
770,0.1558,1,27
771,0.1558,1,27
772,0.1558,1,27
773,0.1558,1,27
774,0.1558,1,27
775,0.1558,1,27
776,0.1558,1,27
777,0.1558,1,27
778,0.1558,1,27
779,0.1558,1,27
780,0.1558,1,27
781,0.1558,1,27
782,0.1558,1,27
783,0.1558,1,27
784,0.1558,1,27
785,0.1558,1,27
786,0.1558,1,27
787,0.1558,1,27
788,0.1558,1,27
789,0.1558,1,27
790,0.1558,1,27
791,0.1558,1,27
792,0.1558,1,27
793,0.1558,1,27
794,0.1558,1,27
795,0.1558,1,27
796,0.1558,1,27
797,0.1558,1,27
798,0.1558,1,27
799,0.1558,1,27
800,0.1558,1,27
801,0.1558,1,27
802,0.1558,1,27
803,0.1558,1,27
804,0.1558,1,27
805,0.1558,1,27
806,0.1558,1,27
807,0.1558,1,27
808,0.1558,1,27
809,0.1558,1,27
810,0.1558,1,27
811,0.1558,1,27
812,0.1558,1,27
813,0.1558,1,27
814,0.1558,1,27
815,0.1558,1,27
816,0.1558,1,27
817,0.1558,1,27
818,0.1558,1,27
819,0.1558,1,27
820,0.1558,1,27
821,0.1558,1,27
822,0.1558,1,27
823,0.1558,1,27
824,0.1558,1,27
825,0.1558,1,27
826,0.1558,1,27
827,0.1558,1,27
828,0.1558,1,27
829,0.1558,1,27
830,0.1558,1,27
831,0.1558,1,27
832,0.1558,1,27
833,0.1558,1,27
834,0.1558,1,27
835,0.1558,1,27
836,0.1558,1,27
837,0.1558,1,27
838,0.1558,1,27
839,0.1558,1,27
840,0.1558,1,27
841,0.1558,1,27
842,0.1558,1,27
843,0.1558,1,27
844,0.1558,1,27
845,0.1558,1,27
846,0.1558,1,27
847,0.1558,1,27
848,0.1558,1,27
849,0.1558,1,27
850,0.1558,1,27
851,0.1558,1,27
852,0.1558,1,27
853,0.1558,1,27
854,0.1558,1,27
855,0.1558,1,27
856,0.1558,1,27
857,0.1558,1,27
858,0.1558,1,27
859,0.1558,1,27
860,0.1558,1,27
861,0.1558,1,27
862,0.1558,1,27
863,0.1558,1,27
864,0.1558,1,27
865,0.1558,1,27
866,0.1558,1,27
867,0.1558,1,27
868,0.1558,1,27
869,0.1558,1,27
870,0.1558,1,27
871,0.1558,1,27
872,0.1558,1,27
873,0.1558,1,27
874,0.1558,1,27
875,0.1558,1,27
876,0.1558,1,27
877,0.1558,1,27
878,0.1558,1,27
879,0.1558,1,27
880,0.1558,1,27
881,0.1558,1,27
882,0.1558,1,27
883,0.1558,1,27
884,0.1558,1,27
