id,foi,wave
1,0.1847,19
2,0.1847,19
3,0.1847,19
4,0.1847,19
5,0.1847,19
6,0.1847,19
7,0.1847,19
8,0.1847,19
9,0.1847,19
10,0.1847,19
11,0.1847,19
12,0.1847,19
13,0.1847,19
14,0.1847,19
15,0.1847,19
16,0.1847,19
17,0.1847,19
18,0.1847,19
19,0.1847,19
20,0.1847,19
21,0.1847,19
22,0.1847,19
23,0.1847,19
24,0.1847,19
25,0.1847,19
26,0.1847,19
27,0.1847,19
28,0.1847,19
29,0.1847,19
30,0.1847,19
31,0.1847,19
32,0.1847,19
33,0.1847,19
34,0.1847,19
35,0.1847,19
36,0.1847,19
37,0.1847,19
38,0.1847,19
39,0.1847,19
40,0.1847,19
41,0.1847,19
42,0.1847,19
43,0.1847,19
44,0.1847,19
45,0.1847,19
46,0.1847,19
47,0.1847,19
48,0.1847,19
49,0.1847,19
50,0.1847,19
51,0.1847,19
52,0.1847,19
53,0.1847,19
54,0.1847,19
55,0.1847,19
56,0.1847,19
57,0.1847,19
58,0.1847,19
59,0.1847,19
60,0.1847,19
61,0.1847,19
62,0.1847,19
63,0.1847,19
64,0.1847,19
65,0.1847,19
66,0.1847,19
67,0.1847,19
68,0.1847,19
69,0.1847,19
70,0.1847,19
71,0.1847,19
72,0.1847,19
73,0.1847,19
74,0.1847,19
75,0.1847,19
76,0.1847,19
77,0.1847,19
78,0.1847,19
79,0.1847,19
80,0.1847,19
81,0.1847,19
82,0.1847,19
83,0.1847,19
84,0.1847,19
85,0.1847,19
86,0.1847,19
87,0.1847,19
88,0.1847,19
89,0.1847,19
90,0.1847,19
91,0.1847,19
92,0.1847,19
93,0.1847,19
94,0.1847,19
95,0.1847,19
96,0.1847,19
97,0.1847,19
98,0.1847,19
99,0.1847,19
100,0.1847,19
101,0.1847,19
102,0.1847,19
103,0.1847,19
104,0.1847,19
105,0.1847,19
106,0.1847,19
107,0.1847,19
108,0.1847,19
109,0.1847,19
110,0.1847,19
111,0.1847,19
112,0.1847,19
113,0.1847,19
114,0.1847,19
115,0.1847,19
116,0.1847,19
117,0.1847,19
118,0.1847,19
119,0.1847,19
120,0.1847,19
121,0.1847,19
122,0.1847,19
123,0.1847,19
124,0.1847,19
125,0.1847,19
126,0.1847,19
127,0.1847,19
128,0.1847,19
129,0.1847,19
130,0.1847,19
131,0.1847,19
132,0.1847,19
133,0.1847,19
134,0.1847,19
135,0.1847,19
136,0.1847,19
137,0.1847,19
138,0.1847,19
139,0.1847,19
140,0.1847,19
141,0.1847,19
142,0.1847,19
143,0.1847,19
144,0.1847,19
145,0.1847,19
146,0.1847,19
147,0.1847,19
148,0.1847,19
149,0.1847,19
150,0.1847,19
151,0.1847,19
152,0.1847,19
153,0.1847,19
154,0.1847,19
155,0.1847,19
156,0.1847,19
157,0.1847,19
158,0.1847,19
159,0.1847,19
160,0.1847,19
161,0.1847,19
162,0.1847,19
163,0.1847,19
164,0.1847,19
165,0.1847,19
166,0.1847,19
167,0.1847,19
168,0.1847,19
169,0.1847,19
170,0.1847,19
171,0.1847,19
172,0.1847,19
173,0.1847,19
174,0.1847,19
175,0.1847,19
176,0.1847,19
177,0.1847,19
178,0.1847,19
179,0.1847,19
180,0.1847,19
181,0.1847,19
182,0.1847,19
183,0.1847,19
184,0.1847,19
185,0.1847,19
186,0.1847,19
187,0.1847,19
188,0.1847,19
189,0.1847,19
190,0.1847,19
191,0.1847,19
192,0.1847,19
193,0.1847,19
194,0.1847,19
195,0.1847,19
196,0.1847,19
197,0.1847,19
198,0.1847,19
199,0.1847,19
200,0.1847,19
201,0.1847,19
202,0.1847,19
203,0.1847,19
204,0.1847,19
205,0.1847,19
206,0.1847,19
207,0.1847,19
208,0.1847,19
209,0.1847,19
210,0.1847,19
211,0.1847,19
212,0.1847,19
213,0.1847,19
214,0.1847,19
215,0.1847,19
216,0.1847,19
217,0.1847,19
218,0.1847,19
219,0.1847,19
220,0.1847,19
221,0.1847,19
222,0.1847,19
223,0.1847,19
224,0.1847,19
225,0.1847,19
226,0.1847,19
227,0.1847,19
228,0.1847,19
229,0.1847,19
230,0.1847,19
231,0.1847,19
232,0.1847,19
233,0.1847,19
234,0.1847,19
235,0.1847,19
236,0.1847,19
237,0.1847,19
238,0.1847,19
239,0.1847,19
240,0.1847,19
241,0.1847,19
242,0.1847,19
243,0.1847,19
244,0.1847,19
245,0.1847,19
246,0.1847,19
247,0.1847,19
248,0.1847,19
249,0.1847,19
250,0.1847,19
251,0.1847,19
252,0.1847,19
253,0.1847,19
254,0.1847,19
255,0.1847,19
256,0.1847,19
257,0.1847,19
258,0.1847,19
259,0.1847,19
260,0.1847,19
261,0.1847,19
262,0.1847,19
263,0.1847,19
264,0.1847,19
265,0.1847,19
266,0.1847,19
267,0.1847,19
268,0.1847,19
269,0.1847,19
270,0.1847,19
271,0.1847,19
272,0.1847,19
273,0.1847,19
274,0.1847,19
275,0.1847,19
276,0.1847,19
277,0.1847,19
278,0.1847,19
279,0.1847,19
280,0.1847,19
281,0.1847,19
282,0.1847,19
283,0.1847,19
284,0.1847,19
285,0.1847,19
286,0.1847,19
287,0.1847,19
288,0.1847,19
289,0.1847,19
290,0.1847,19
291,0.1847,19
292,0.1847,19
293,0.1847,19
294,0.1847,19
295,0.1847,19
296,0.1847,19
297,0.1847,19
298,0.1847,19
299,0.1847,19
300,0.1847,19
301,0.1847,19
302,0.1847,19
