id,foi,R0,wave
1,0.1252,1,43
2,0.1252,1,43
3,0.1252,1,43
4,0.1252,1,43
5,0.1252,1,43
6,0.1252,1,43
7,0.1252,1,43
8,0.1252,1,43
9,0.1252,1,43
10,0.1252,1,43
11,0.1252,1,43
12,0.1252,1,43
13,0.1252,1,43
14,0.1252,1,43
15,0.1252,1,43
16,0.1252,1,43
17,0.1252,1,43
18,0.1252,1,43
19,0.1252,1,43
20,0.1252,1,43
21,0.1252,1,43
22,0.1252,1,43
23,0.1252,1,43
24,0.1252,1,43
25,0.1252,1,43
26,0.1252,1,43
27,0.1252,1,43
28,0.1252,1,43
29,0.1252,1,43
30,0.1252,1,43
31,0.1252,1,43
32,0.1252,1,43
33,0.1252,1,43
34,0.1252,1,43
35,0.1252,1,43
36,0.1252,1,43
37,0.1252,1,43
38,0.1252,1,43
39,0.1252,1,43
40,0.1252,1,43
41,0.1252,1,43
42,0.1252,1,43
43,0.1252,1,43
44,0.1252,1,43
45,0.1252,1,43
46,0.1252,1,43
47,0.1252,1,43
48,0.1252,1,43
49,0.1252,1,43
50,0.1252,1,43
51,0.1252,1,43
52,0.1252,1,43
53,0.1252,1,43
54,0.1252,1,43
55,0.1252,1,43
56,0.1252,1,43
57,0.1252,1,43
58,0.1252,1,43
59,0.1252,1,43
60,0.1252,1,43
61,0.1252,1,43
62,0.1252,1,43
63,0.1252,1,43
64,0.1252,1,43
65,0.1252,1,43
66,0.1252,1,43
67,0.1252,1,43
68,0.1252,1,43
69,0.1252,1,43
70,0.1252,1,43
71,0.1252,1,43
72,0.1252,1,43
73,0.1252,1,43
74,0.1252,1,43
75,0.1252,1,43
76,0.1252,1,43
77,0.1252,1,43
78,0.1252,1,43
79,0.1252,1,43
80,0.1252,1,43
81,0.1252,1,43
82,0.1252,1,43
83,0.1252,1,43
84,0.1252,1,43
85,0.1252,1,43
86,0.1252,1,43
87,0.1252,1,43
88,0.1252,1,43
89,0.1252,1,43
90,0.1252,1,43
91,0.1252,1,43
92,0.1252,1,43
93,0.1252,1,43
94,0.1252,1,43
95,0.1252,1,43
96,0.1252,1,43
97,0.1252,1,43
98,0.1252,1,43
99,0.1252,1,43
100,0.1252,1,43
101,0.1252,1,43
102,0.1252,1,43
103,0.1252,1,43
104,0.1252,1,43
105,0.1252,1,43
106,0.1252,1,43
107,0.1252,1,43
108,0.1252,1,43
109,0.1252,1,43
110,0.1252,1,43
111,0.1252,1,43
112,0.1252,1,43
113,0.1252,1,43
114,0.1252,1,43
115,0.1252,1,43
116,0.1252,1,43
117,0.1252,1,43
118,0.1252,1,43
119,0.1252,1,43
120,0.1252,1,43
121,0.1252,1,43
122,0.1252,1,43
123,0.1252,1,43
124,0.1252,1,43
125,0.1252,1,43
126,0.1252,1,43
127,0.1252,1,43
128,0.1252,1,43
129,0.1252,1,43
130,0.1252,1,43
131,0.1252,1,43
132,0.1252,1,43
133,0.1252,1,43
134,0.1252,1,43
135,0.1252,1,43
136,0.1252,1,43
137,0.1252,1,43
138,0.1252,1,43
139,0.1252,1,43
140,0.1252,1,43
141,0.1252,1,43
142,0.1252,1,43
143,0.1252,1,43
144,0.1252,1,43
145,0.1252,1,43
146,0.1252,1,43
147,0.1252,1,43
148,0.1252,1,43
149,0.1252,1,43
150,0.1252,1,43
151,0.1252,1,43
152,0.1252,1,43
153,0.1252,1,43
154,0.1252,1,43
155,0.1252,1,43
156,0.1252,1,43
157,0.1252,1,43
158,0.1252,1,43
159,0.1252,1,43
160,0.1252,1,43
161,0.1252,1,43
162,0.1252,1,43
163,0.1252,1,43
164,0.1252,1,43
165,0.1252,1,43
166,0.1252,1,43
167,0.1252,1,43
168,0.1252,1,43
169,0.1252,1,43
170,0.1252,1,43
171,0.1252,1,43
172,0.1252,1,43
173,0.1252,1,43
174,0.1252,1,43
175,0.1252,1,43
176,0.1252,1,43
177,0.1252,1,43
178,0.1252,1,43
179,0.1252,1,43
180,0.1252,1,43
181,0.1252,1,43
182,0.1252,1,43
183,0.1252,1,43
184,0.1252,1,43
185,0.1252,1,43
186,0.1252,1,43
187,0.1252,1,43
188,0.1252,1,43
189,0.1252,1,43
190,0.1252,1,43
191,0.1252,1,43
192,0.1252,1,43
193,0.1252,1,43
194,0.1252,1,43
195,0.1252,1,43
196,0.1252,1,43
197,0.1252,1,43
198,0.1252,1,43
199,0.1252,1,43
200,0.1252,1,43
201,0.1252,1,43
202,0.1252,1,43
