id,foi,wave
1,0.1419,28
2,0.1419,28
3,0.1419,28
4,0.1419,28
5,0.1419,28
6,0.1419,28
7,0.1419,28
8,0.1419,28
9,0.1419,28
10,0.1419,28
11,0.1419,28
12,0.1419,28
13,0.1419,28
14,0.1419,28
15,0.1419,28
16,0.1419,28
17,0.1419,28
18,0.1419,28
19,0.1419,28
20,0.1419,28
21,0.1419,28
22,0.1419,28
23,0.1419,28
24,0.1419,28
25,0.1419,28
26,0.1419,28
27,0.1419,28
28,0.1419,28
29,0.1419,28
30,0.1419,28
31,0.1419,28
32,0.1419,28
33,0.1419,28
34,0.1419,28
35,0.1419,28
36,0.1419,28
37,0.1419,28
38,0.1419,28
39,0.1419,28
40,0.1419,28
41,0.1419,28
42,0.1419,28
43,0.1419,28
44,0.1419,28
45,0.1419,28
46,0.1419,28
47,0.1419,28
48,0.1419,28
49,0.1419,28
50,0.1419,28
51,0.1419,28
52,0.1419,28
53,0.1419,28
54,0.1419,28
55,0.1419,28
56,0.1419,28
57,0.1419,28
58,0.1419,28
59,0.1419,28
60,0.1419,28
61,0.1419,28
62,0.1419,28
63,0.1419,28
64,0.1419,28
65,0.1419,28
66,0.1419,28
67,0.1419,28
68,0.1419,28
69,0.1419,28
70,0.1419,28
71,0.1419,28
72,0.1419,28
73,0.1419,28
74,0.1419,28
75,0.1419,28
76,0.1419,28
77,0.1419,28
78,0.1419,28
79,0.1419,28
80,0.1419,28
81,0.1419,28
82,0.1419,28
83,0.1419,28
84,0.1419,28
85,0.1419,28
86,0.1419,28
87,0.1419,28
88,0.1419,28
89,0.1419,28
90,0.1419,28
91,0.1419,28
92,0.1419,28
93,0.1419,28
94,0.1419,28
95,0.1419,28
96,0.1419,28
97,0.1419,28
98,0.1419,28
99,0.1419,28
100,0.1419,28
101,0.1419,28
102,0.1419,28
103,0.1419,28
104,0.1419,28
105,0.1419,28
106,0.1419,28
107,0.1419,28
108,0.1419,28
109,0.1419,28
110,0.1419,28
111,0.1419,28
112,0.1419,28
113,0.1419,28
114,0.1419,28
115,0.1419,28
116,0.1419,28
117,0.1419,28
118,0.1419,28
119,0.1419,28
120,0.1419,28
121,0.1419,28
122,0.1419,28
123,0.1419,28
124,0.1419,28
125,0.1419,28
126,0.1419,28
127,0.1419,28
128,0.1419,28
129,0.1419,28
130,0.1419,28
131,0.1419,28
132,0.1419,28
133,0.1419,28
134,0.1419,28
135,0.1419,28
136,0.1419,28
137,0.1419,28
138,0.1419,28
139,0.1419,28
140,0.1419,28
141,0.1419,28
142,0.1419,28
143,0.1419,28
144,0.1419,28
145,0.1419,28
146,0.1419,28
147,0.1419,28
148,0.1419,28
149,0.1419,28
150,0.1419,28
151,0.1419,28
152,0.1419,28
153,0.1419,28
154,0.1419,28
155,0.1419,28
156,0.1419,28
157,0.1419,28
158,0.1419,28
159,0.1419,28
160,0.1419,28
161,0.1419,28
162,0.1419,28
163,0.1419,28
164,0.1419,28
165,0.1419,28
166,0.1419,28
167,0.1419,28
168,0.1419,28
169,0.1419,28
170,0.1419,28
171,0.1419,28
172,0.1419,28
173,0.1419,28
174,0.1419,28
175,0.1419,28
176,0.1419,28
177,0.1419,28
178,0.1419,28
179,0.1419,28
180,0.1419,28
181,0.1419,28
182,0.1419,28
183,0.1419,28
184,0.1419,28
185,0.1419,28
186,0.1419,28
187,0.1419,28
188,0.1419,28
189,0.1419,28
190,0.1419,28
191,0.1419,28
192,0.1419,28
193,0.1419,28
194,0.1419,28
195,0.1419,28
196,0.1419,28
197,0.1419,28
198,0.1419,28
199,0.1419,28
200,0.1419,28
201,0.1419,28
202,0.1419,28
203,0.1419,28
204,0.1419,28
205,0.1419,28
206,0.1419,28
207,0.1419,28
208,0.1419,28
209,0.1419,28
210,0.1419,28
211,0.1419,28
212,0.1419,28
213,0.1419,28
214,0.1419,28
215,0.1419,28
216,0.1419,28
217,0.1419,28
218,0.1419,28
219,0.1419,28
220,0.1419,28
221,0.1419,28
222,0.1419,28
223,0.1419,28
224,0.1419,28
225,0.1419,28
226,0.1419,28
227,0.1419,28
228,0.1419,28
229,0.1419,28
230,0.1419,28
231,0.1419,28
232,0.1419,28
233,0.1419,28
234,0.1419,28
235,0.1419,28
236,0.1419,28
237,0.1419,28
238,0.1419,28
239,0.1419,28
240,0.1419,28
241,0.1419,28
242,0.1419,28
243,0.1419,28
244,0.1419,28
245,0.1419,28
246,0.1419,28
247,0.1419,28
248,0.1419,28
249,0.1419,28
250,0.1419,28
251,0.1419,28
252,0.1419,28
253,0.1419,28
254,0.1419,28
255,0.1419,28
256,0.1419,28
257,0.1419,28
258,0.1419,28
259,0.1419,28
260,0.1419,28
261,0.1419,28
262,0.1419,28
263,0.1419,28
264,0.1419,28
265,0.1419,28
266,0.1419,28
267,0.1419,28
268,0.1419,28
269,0.1419,28
270,0.1419,28
271,0.1419,28
272,0.1419,28
273,0.1419,28
274,0.1419,28
275,0.1419,28
276,0.1419,28
277,0.1419,28
278,0.1419,28
279,0.1419,28
280,0.1419,28
281,0.1419,28
282,0.1419,28
283,0.1419,28
284,0.1419,28
285,0.1419,28
286,0.1419,28
287,0.1419,28
288,0.1419,28
289,0.1419,28
290,0.1419,28
291,0.1419,28
292,0.1419,28
293,0.1419,28
294,0.1419,28
295,0.1419,28
296,0.1419,28
297,0.1419,28
298,0.1419,28
299,0.1419,28
300,0.1419,28
301,0.1419,28
302,0.1419,28
303,0.1419,28
304,0.1419,28
305,0.1419,28
306,0.1419,28
307,0.1419,28
308,0.1419,28
309,0.1419,28
310,0.1419,28
311,0.1419,28
312,0.1419,28
313,0.1419,28
314,0.1419,28
315,0.1419,28
316,0.1419,28
317,0.1419,28
318,0.1419,28
319,0.1419,28
320,0.1419,28
321,0.1419,28
322,0.1419,28
323,0.1419,28
324,0.1419,28
325,0.1419,28
326,0.1419,28
327,0.1419,28
328,0.1419,28
329,0.1419,28
330,0.1419,28
331,0.1419,28
332,0.1419,28
333,0.1419,28
334,0.1419,28
335,0.1419,28
336,0.1419,28
337,0.1419,28
338,0.1419,28
339,0.1419,28
340,0.1419,28
341,0.1419,28
342,0.1419,28
343,0.1419,28
344,0.1419,28
345,0.1419,28
346,0.1419,28
347,0.1419,28
348,0.1419,28
349,0.1419,28
350,0.1419,28
351,0.1419,28
352,0.1419,28
353,0.1419,28
354,0.1419,28
355,0.1419,28
356,0.1419,28
357,0.1419,28
358,0.1419,28
359,0.1419,28
360,0.1419,28
361,0.1419,28
362,0.1419,28
363,0.1419,28
364,0.1419,28
365,0.1419,28
366,0.1419,28
367,0.1419,28
368,0.1419,28
369,0.1419,28
370,0.1419,28
371,0.1419,28
372,0.1419,28
373,0.1419,28
374,0.1419,28
375,0.1419,28
376,0.1419,28
377,0.1419,28
378,0.1419,28
379,0.1419,28
380,0.1419,28
381,0.1419,28
382,0.1419,28
383,0.1419,28
384,0.1419,28
385,0.1419,28
386,0.1419,28
387,0.1419,28
388,0.1419,28
389,0.1419,28
390,0.1419,28
391,0.1419,28
392,0.1419,28
393,0.1419,28
394,0.1419,28
395,0.1419,28
396,0.1419,28
397,0.1419,28
398,0.1419,28
399,0.1419,28
400,0.1419,28
401,0.1419,28
402,0.1419,28
403,0.1419,28
404,0.1419,28
405,0.1419,28
406,0.1419,28
407,0.1419,28
408,0.1419,28
409,0.1419,28
410,0.1419,28
411,0.1419,28
412,0.1419,28
413,0.1419,28
414,0.1419,28
415,0.1419,28
416,0.1419,28
417,0.1419,28
418,0.1419,28
419,0.1419,28
420,0.1419,28
421,0.1419,28
422,0.1419,28
423,0.1419,28
424,0.1419,28
425,0.1419,28
426,0.1419,28
427,0.1419,28
428,0.1419,28
429,0.1419,28
430,0.1419,28
431,0.1419,28
432,0.1419,28
433,0.1419,28
434,0.1419,28
435,0.1419,28
436,0.1419,28
437,0.1419,28
438,0.1419,28
439,0.1419,28
440,0.1419,28
441,0.1419,28
442,0.1419,28
443,0.1419,28
444,0.1419,28
445,0.1419,28
446,0.1419,28
447,0.1419,28
448,0.1419,28
449,0.1419,28
450,0.1419,28
451,0.1419,28
452,0.1419,28
453,0.1419,28
454,0.1419,28
455,0.1419,28
456,0.1419,28
457,0.1419,28
458,0.1419,28
459,0.1419,28
460,0.1419,28
461,0.1419,28
462,0.1419,28
463,0.1419,28
464,0.1419,28
465,0.1419,28
466,0.1419,28
467,0.1419,28
468,0.1419,28
469,0.1419,28
470,0.1419,28
471,0.1419,28
472,0.1419,28
473,0.1419,28
474,0.1419,28
475,0.1419,28
476,0.1419,28
477,0.1419,28
478,0.1419,28
479,0.1419,28
480,0.1419,28
481,0.1419,28
482,0.1419,28
483,0.1419,28
484,0.1419,28
485,0.1419,28
486,0.1419,28
487,0.1419,28
488,0.1419,28
489,0.1419,28
490,0.1419,28
491,0.1419,28
492,0.1419,28
493,0.1419,28
494,0.1419,28
495,0.1419,28
496,0.1419,28
497,0.1419,28
498,0.1419,28
499,0.1419,28
500,0.1419,28
501,0.1419,28
502,0.1419,28
503,0.1419,28
504,0.1419,28
505,0.1419,28
506,0.1419,28
507,0.1419,28
508,0.1419,28
509,0.1419,28
510,0.1419,28
511,0.1419,28
512,0.1419,28
513,0.1419,28
514,0.1419,28
515,0.1419,28
516,0.1419,28
517,0.1419,28
518,0.1419,28
519,0.1419,28
520,0.1419,28
521,0.1419,28
522,0.1419,28
523,0.1419,28
524,0.1419,28
525,0.1419,28
526,0.1419,28
527,0.1419,28
528,0.1419,28
529,0.1419,28
530,0.1419,28
531,0.1419,28
532,0.1419,28
533,0.1419,28
534,0.1419,28
535,0.1419,28
536,0.1419,28
537,0.1419,28
538,0.1419,28
539,0.1419,28
540,0.1419,28
541,0.1419,28
542,0.1419,28
543,0.1419,28
544,0.1419,28
545,0.1419,28
546,0.1419,28
547,0.1419,28
548,0.1419,28
549,0.1419,28
550,0.1419,28
551,0.1419,28
552,0.1419,28
553,0.1419,28
554,0.1419,28
555,0.1419,28
556,0.1419,28
557,0.1419,28
558,0.1419,28
559,0.1419,28
560,0.1419,28
561,0.1419,28
562,0.1419,28
563,0.1419,28
564,0.1419,28
565,0.1419,28
566,0.1419,28
567,0.1419,28
568,0.1419,28
569,0.1419,28
570,0.1419,28
571,0.1419,28
572,0.1419,28
573,0.1419,28
574,0.1419,28
575,0.1419,28
576,0.1419,28
577,0.1419,28
578,0.1419,28
579,0.1419,28
580,0.1419,28
581,0.1419,28
582,0.1419,28
583,0.1419,28
584,0.1419,28
585,0.1419,28
586,0.1419,28
587,0.1419,28
588,0.1419,28
589,0.1419,28
590,0.1419,28
591,0.1419,28
592,0.1419,28
593,0.1419,28
594,0.1419,28
595,0.1419,28
596,0.1419,28
597,0.1419,28
598,0.1419,28
599,0.1419,28
600,0.1419,28
601,0.1419,28
602,0.1419,28
603,0.1419,28
604,0.1419,28
605,0.1419,28
606,0.1419,28
607,0.1419,28
608,0.1419,28
609,0.1419,28
610,0.1419,28
611,0.1419,28
612,0.1419,28
613,0.1419,28
614,0.1419,28
615,0.1419,28
616,0.1419,28
617,0.1419,28
618,0.1419,28
619,0.1419,28
620,0.1419,28
621,0.1419,28
622,0.1419,28
623,0.1419,28
624,0.1419,28
625,0.1419,28
626,0.1419,28
627,0.1419,28
628,0.1419,28
629,0.1419,28
630,0.1419,28
631,0.1419,28
632,0.1419,28
633,0.1419,28
634,0.1419,28
635,0.1419,28
636,0.1419,28
637,0.1419,28
638,0.1419,28
639,0.1419,28
640,0.1419,28
641,0.1419,28
642,0.1419,28
643,0.1419,28
644,0.1419,28
645,0.1419,28
646,0.1419,28
647,0.1419,28
648,0.1419,28
649,0.1419,28
650,0.1419,28
651,0.1419,28
652,0.1419,28
653,0.1419,28
654,0.1419,28
655,0.1419,28
656,0.1419,28
657,0.1419,28
658,0.1419,28
659,0.1419,28
660,0.1419,28
661,0.1419,28
662,0.1419,28
663,0.1419,28
664,0.1419,28
665,0.1419,28
666,0.1419,28
667,0.1419,28
668,0.1419,28
669,0.1419,28
670,0.1419,28
671,0.1419,28
672,0.1419,28
673,0.1419,28
674,0.1419,28
675,0.1419,28
676,0.1419,28
677,0.1419,28
678,0.1419,28
679,0.1419,28
680,0.1419,28
681,0.1419,28
682,0.1419,28
683,0.1419,28
684,0.1419,28
685,0.1419,28
