hh_id,hh_type
HH2000109,NA
HH2000209,NA
HH2000309,NA
HH2000409,NA
HH2000509,NA
HH2000609,NA
HH2000709,NA
HH2000809,NA
HH2000909,NA
HH2001009,NA
HH2001109,NA
HH2001209,NA
HH2001309,NA
HH2001409,NA
HH2001509,NA
HH2001609,NA
HH2001709,NA
HH2001809,NA
HH2002009,NA
HH2002609,NA
HH2002809,NA
HH2002909,NA
HH2003009,NA
HH2003109,NA
HH2003209,NA
HH2003309,NA
HH2003409,NA
HH2003509,NA
HH2003609,NA
HH2003709,NA
HH2003809,NA
HH2003909,NA
HH2004009,NA
HH2004109,NA
HH2004209,NA
HH2004309,NA
HH2004409,NA
HH2004509,NA
HH2004609,NA
HH2004709,NA
HH2004809,NA
HH2004909,NA
HH2005009,NA
HH2005109,NA
HH2005309,NA
HH2005409,NA
HH2005509,NA
HH2005609,NA
HH2005809,NA
HH2005909,NA
HH2006009,NA
HH2006109,NA
HH2006309,NA
HH2006409,NA
HH2006509,NA
HH2006609,NA
HH2006809,NA
HH2006909,NA
HH2007009,NA
HH2007109,NA
HH2007309,NA
HH2007409,NA
HH2007609,NA
HH2007709,NA
HH2007909,NA
HH2008009,NA
HH2008109,NA
HH2008209,NA
HH2008309,NA
HH2008509,NA
HH2008609,NA
HH2008709,NA
HH2008809,NA
HH2008909,NA
HH2009009,NA
HH2009109,NA
HH2009209,NA
HH2009309,NA
HH2009409,NA
HH2009509,NA
HH2009609,NA
HH2009709,NA
HH2009809,NA
HH2009909,NA
HH2010009,NA
HH2010109,NA
HH2010209,NA
HH2010309,NA
HH2010409,NA
HH2010509,NA
HH2010609,NA
HH2010709,NA
HH2010809,NA
HH2010909,NA
HH2011009,NA
HH2011109,NA
HH2011209,NA
HH2011309,NA
HH2011409,NA
HH2011509,NA
HH2011609,NA
HH2011909,NA
HH2012009,NA
HH2012109,NA
HH2012309,NA
HH2012409,NA
HH2012509,NA
HH2012609,NA
HH2012709,NA
HH2012809,NA
HH2012909,NA
HH2013009,NA
HH2013109,NA
