"part_id","hh_id","part_age","part_gender"
1251806,"HH1251806","[18,30)","M"
1251807,"HH1251807","[18,30)","M"
1251808,"HH1251808","[18,30)","M"
1251901,"HH1251901","[50,60)","M"
1251902,"HH1251902","[50,60)","M"
1251903,"HH1251903","[50,60)","M"
1251904,"HH1251904","[50,60)","M"
1251905,"HH1251905","[50,60)","M"
1251906,"HH1251906","[50,60)","M"
1251907,"HH1251907","[50,60)","M"
1251908,"HH1251908","[50,60)","M"
1252001,"HH1252001","[30,40)","F"
1252002,"HH1252002","[30,40)","F"
1252004,"HH1252004","[30,40)","F"
1252006,"HH1252006","[30,40)","F"
1252101,"HH1252101","[50,60)","F"
1252102,"HH1252102","[50,60)","F"
1252103,"HH1252103","[50,60)","F"
1252104,"HH1252104","[50,60)","F"
1252105,"HH1252105","[50,60)","F"
1252106,"HH1252106","[50,60)","F"
1252107,"HH1252107","[50,60)","F"
1252108,"HH1252108","[50,60)","F"
1252201,"HH1252201","[60,70)","M"
1252202,"HH1252202","[60,70)","M"
1252204,"HH1252204","[60,70)","M"
1252206,"HH1252206","[60,70)","M"
1252301,"HH1252301","[40,50)","M"
1252302,"HH1252302","[40,50)","M"
1252303,"HH1252303","[40,50)","M"
1252304,"HH1252304","[40,50)","M"
1252305,"HH1252305","[40,50)","M"
1252307,"HH1252307","[40,50)","M"
1252308,"HH1252308","[40,50)","M"
1252401,"HH1252401","[18,30)","F"
1252501,"HH1252501","[50,60)","F"
1252502,"HH1252502","[50,60)","F"
1252504,"HH1252504","[50,60)","F"
1252506,"HH1252506","[50,60)","F"
1252508,"HH1252508","[50,60)","F"
1252601,"HH1252601","[70,120)","F"
1252602,"HH1252602","[70,120)","F"
1252603,"HH1252603","[70,120)","F"
1252604,"HH1252604","[70,120)","F"
1252605,"HH1252605","[70,120)","F"
1252606,"HH1252606","[70,120)","F"
1252608,"HH1252608","[70,120)","F"
1252701,"HH1252701","[60,70)","F"
1252801,"HH1252801","[50,60)","M"
1252802,"HH1252802","[50,60)","M"
1252803,"HH1252803","[50,60)","M"
1252804,"HH1252804","[50,60)","M"
1252805,"HH1252805","[50,60)","M"
1252806,"HH1252806","[50,60)","M"
1252807,"HH1252807","[50,60)","M"
1252808,"HH1252808","[50,60)","M"
1252901,"HH1252901","[60,70)","F"
1252902,"HH1252902","[60,70)","F"
1252903,"HH1252903","[60,70)","F"
1252904,"HH1252904","[60,70)","F"
1252905,"HH1252905","[60,70)","F"
1252906,"HH1252906","[60,70)","F"
1252907,"HH1252907","[60,70)","F"
1252908,"HH1252908","[60,70)","F"
1253001,"HH1253001","[70,120)","M"
1253002,"HH1253002","[70,120)","M"
1253003,"HH1253003","[70,120)","M"
1253004,"HH1253004","[70,120)","M"
1253005,"HH1253005","[70,120)","M"
1253006,"HH1253006","[70,120)","M"
1253007,"HH1253007","[70,120)","M"
1253008,"HH1253008","[70,120)","M"
1253101,"HH1253101","[40,50)","F"
1253102,"HH1253102","[40,50)","F"
1253103,"HH1253103","[40,50)","F"
1253104,"HH1253104","[40,50)","F"
1253105,"HH1253105","[40,50)","F"
1253106,"HH1253106","[40,50)","F"
1253107,"HH1253107","[40,50)","F"
1253108,"HH1253108","[40,50)","F"
1253201,"HH1253201","[40,50)","F"
1253301,"HH1253301","[30,40)","F"
1253302,"HH1253302","[30,40)","F"
1253303,"HH1253303","[30,40)","F"
1253304,"HH1253304","[30,40)","F"
1253305,"HH1253305","[30,40)","F"
1253306,"HH1253306","[30,40)","F"
1253307,"HH1253307","[30,40)","F"
1253401,"HH1253401","[50,60)","M"
1253402,"HH1253402","[50,60)","M"
1253403,"HH1253403","[50,60)","M"
1253406,"HH1253406","[50,60)","M"
1253407,"HH1253407","[50,60)","M"
1253408,"HH1253408","[50,60)","M"
1253501,"HH1253501","[70,120)","M"
1253502,"HH1253502","[70,120)","M"
1253503,"HH1253503","[70,120)","M"
1253504,"HH1253504","[70,120)","M"
1253505,"HH1253505","[70,120)","M"
1253506,"HH1253506","[70,120)","M"
1253507,"HH1253507","[70,120)","M"
1253508,"HH1253508","[70,120)","M"
1253601,"HH1253601","[18,30)","M"
1253602,"HH1253602","[18,30)","M"
1253603,"HH1253603","[18,30)","M"
1253604,"HH1253604","[18,30)","M"
1253605,"HH1253605","[18,30)","M"
1253606,"HH1253606","[18,30)","M"
1253608,"HH1253608","[18,30)","M"
1253701,"HH1253701","[50,60)","F"
1253702,"HH1253702","[50,60)","F"
1253703,"HH1253703","[50,60)","F"
1253704,"HH1253704","[50,60)","F"
1253705,"HH1253705","[50,60)","F"
1253706,"HH1253706","[50,60)","F"
1253707,"HH1253707","[50,60)","F"
1253708,"HH1253708","[50,60)","F"
1253801,"HH1253801","[30,40)","M"
1253802,"HH1253802","[30,40)","M"
1253803,"HH1253803","[30,40)","M"
1253804,"HH1253804","[30,40)","M"
1253805,"HH1253805","[30,40)",NA
1253806,"HH1253806","[30,40)","M"
1253808,"HH1253808","[30,40)","M"
1253901,"HH1253901","[40,50)","F"
1253902,"HH1253902","[40,50)","F"
1253903,"HH1253903","[40,50)","F"
1253904,"HH1253904","[40,50)","F"
1253905,"HH1253905","[40,50)","F"
1253906,"HH1253906","[40,50)","F"
1253907,"HH1253907","[40,50)","F"
1253908,"HH1253908","[40,50)","F"
1254001,"HH1254001","[18,30)","M"
1254002,"HH1254002","[18,30)","M"
1254101,"HH1254101","[50,60)","F"
1254102,"HH1254102","[50,60)","F"
1254103,"HH1254103","[50,60)","F"
1254104,"HH1254104","[50,60)","F"
1254106,"HH1254106","[50,60)","F"
1254108,"HH1254108","[50,60)","F"
1254201,"HH1254201","[40,50)","M"
1254301,"HH1254301","[18,30)","F"
1254302,"HH1254302","[18,30)","F"
1254303,"HH1254303","[18,30)","F"
1254305,"HH1254305","[18,30)","F"
1254306,"HH1254306","[18,30)","F"
1254307,"HH1254307","[18,30)","F"
1254401,"HH1254401","[70,120)","F"
1254402,"HH1254402","[70,120)","F"
1254403,"HH1254403","[70,120)","F"
1254404,"HH1254404","[70,120)","F"
1254405,"HH1254405","[70,120)","F"
1254406,"HH1254406","[70,120)","F"
1254407,"HH1254407","[70,120)","F"
1254408,"HH1254408","[70,120)","F"
1254501,"HH1254501","[30,40)","M"
1254502,"HH1254502","[30,40)","M"
1254503,"HH1254503","[30,40)","M"
1254504,"HH1254504","[30,40)","M"
1254505,"HH1254505","[30,40)","M"
1254601,"HH1254601","[18,30)","F"
1254602,"HH1254602","[18,30)","F"
1254603,"HH1254603","[18,30)","F"
1254604,"HH1254604","[18,30)","F"
1254605,"HH1254605","[18,30)","F"
1254701,"HH1254701","[18,30)","F"
1254702,"HH1254702","[18,30)","F"
1254703,"HH1254703","[18,30)","F"
1254704,"HH1254704","[18,30)","F"
1254705,"HH1254705","[18,30)","F"
1254706,"HH1254706","[18,30)","F"
1254707,"HH1254707","[18,30)","F"
1254801,"HH1254801","[18,30)","F"
1254901,"HH1254901","[50,60)","M"
1254902,"HH1254902","[50,60)","M"
1254903,"HH1254903","[50,60)","M"
1255001,"HH1255001","[40,50)","M"
1255101,"HH1255101","[40,50)","F"
1255102,"HH1255102","[40,50)","F"
1255103,"HH1255103","[40,50)","F"
1255104,"HH1255104","[40,50)","F"
1255105,"HH1255105","[40,50)","F"
1255106,"HH1255106","[40,50)","F"
1255108,"HH1255108","[40,50)","F"
1255201,"HH1255201","[18,30)","F"
1255202,"HH1255202","[18,30)","F"
1255203,"HH1255203","[18,30)","F"
1255204,"HH1255204","[18,30)","F"
1255205,"HH1255205","[18,30)","F"
1255206,"HH1255206","[18,30)","F"
1255207,"HH1255207","[18,30)","F"
1255208,"HH1255208","[18,30)","F"
1255301,"HH1255301","[50,60)","F"
1255302,"HH1255302","[50,60)","F"
1255303,"HH1255303","[50,60)","F"
1255304,"HH1255304","[50,60)","F"
1255306,"HH1255306","[50,60)","F"
1255307,"HH1255307","[50,60)","F"
1255308,"HH1255308","[50,60)","F"
1255401,"HH1255401","[60,70)","F"
1255402,"HH1255402","[60,70)","F"
1255403,"HH1255403","[60,70)","F"
1255404,"HH1255404","[60,70)","F"
