hh_id,country,hh_size
HH2001637,Belgium,1
HH2001638,Belgium,1
HH2001639,Belgium,1
HH2001640,Belgium,1
HH2001641,Belgium,1
HH2001642,Belgium,1
HH2001643,Belgium,1
HH2001712,Belgium,2
HH2001713,Belgium,2
HH2001714,Belgium,2
HH2001715,Belgium,2
HH2001717,Belgium,2
HH2001718,Belgium,2
HH2001719,Belgium,2
HH2001720,Belgium,2
HH2001721,Belgium,2
HH2001722,Belgium,2
HH2001723,Belgium,2
HH2001724,Belgium,2
HH2001725,Belgium,2
HH2001726,Belgium,2
HH2001727,Belgium,2
HH2001728,Belgium,2
HH2001730,Belgium,2
HH2001731,Belgium,2
HH2001732,Belgium,2
HH2001733,Belgium,2
HH2001734,Belgium,2
HH2001736,Belgium,2
HH2001737,Belgium,2
HH2001739,Belgium,2
HH2001740,Belgium,2
HH2001741,Belgium,2
HH2001742,Belgium,2
HH2001812,Belgium,2
HH2001813,Belgium,2
HH2001814,Belgium,2
HH2001815,Belgium,2
HH2001817,Belgium,2
HH2001818,Belgium,2
HH2001819,Belgium,2
HH2001820,Belgium,2
HH2001821,Belgium,2
HH2001822,Belgium,2
HH2001823,Belgium,2
HH2001824,Belgium,2
HH2001825,Belgium,2
HH2001826,Belgium,2
HH2001827,Belgium,2
HH2001828,Belgium,2
HH2001829,Belgium,2
HH2001830,Belgium,2
HH2001831,Belgium,2
HH2001832,Belgium,2
HH2001833,Belgium,2
HH2001834,Belgium,2
HH2001835,Belgium,2
HH2001836,Belgium,2
HH2001837,Belgium,2
HH2001838,Belgium,2
HH2001839,Belgium,2
HH2001840,Belgium,2
HH2001841,Belgium,2
HH2001842,Belgium,2
HH2001843,Belgium,2
HH2001913,Belgium,3
HH2001914,Belgium,3
HH2001938,Belgium,3
HH2002136,Belgium,3
HH2002137,Belgium,3
HH2002138,Belgium,3
HH2002139,Belgium,3
HH2002221,Belgium,4
HH2002224,Belgium,4
HH2002225,Belgium,4
HH2002228,Belgium,4
HH2002231,Belgium,4
HH2002235,Belgium,3
HH2002236,Belgium,3
HH2002240,Belgium,3
HH2002312,Belgium,4
HH2002313,Belgium,4
HH2002314,Belgium,4
HH2002315,Belgium,3
HH2002316,Belgium,4
HH2002317,Belgium,4
HH2002318,Belgium,4
HH2002319,Belgium,4
HH2002320,Belgium,4
HH2002321,Belgium,4
HH2002420,Belgium,3
HH2002513,Belgium,5
HH2002514,Belgium,5
HH2002515,Belgium,5
HH2002516,Belgium,5
HH2002517,Belgium,5
HH2002518,Belgium,5
HH2002524,Belgium,5
HH2002526,Belgium,5
HH2002528,Belgium,5
HH2002534,Belgium,5
HH2002612,Belgium,3
HH2002618,Belgium,3
HH2002619,Belgium,3
HH2002621,Belgium,3
HH2002623,Belgium,3
HH2002628,Belgium,3
HH2002630,Belgium,3
HH2002631,Belgium,3
HH2002713,Belgium,5
HH2002812,Belgium,1
HH2002813,Belgium,1
HH2002814,Belgium,1
HH2002815,Belgium,1
HH2002816,Belgium,1
HH2002817,Belgium,1
HH2002818,Belgium,1
HH2002819,Belgium,1
HH2002820,Belgium,1
HH2002821,Belgium,1
HH2002822,Belgium,1
HH2002823,Belgium,1
HH2002824,Belgium,1
HH2002825,Belgium,1
HH2002826,Belgium,1
HH2002827,Belgium,1
HH2002828,Belgium,1
HH2002829,Belgium,1
HH2002830,Belgium,1
HH2002831,Belgium,1
HH2002832,Belgium,1
HH2002833,Belgium,1
HH2002834,Belgium,1
HH2002835,Belgium,1
HH2002836,Belgium,1
HH2002837,Belgium,1
HH2002838,Belgium,1
HH2002839,Belgium,1
HH2002840,Belgium,1
HH2002841,Belgium,1
HH2002842,Belgium,1
HH2002843,Belgium,1
HH2002912,Belgium,1
HH2002913,Belgium,1
HH2002914,Belgium,1
HH2002915,Belgium,1
HH2002916,Belgium,1
HH2002917,Belgium,1
HH2002918,Belgium,1
HH2002919,Belgium,1
HH2002920,Belgium,1
HH2002921,Belgium,1
HH2002922,Belgium,1
HH2002923,Belgium,1
HH2002924,Belgium,1
HH2002925,Belgium,1
HH2002926,Belgium,1
HH2002927,Belgium,1
HH2002928,Belgium,1
HH2002929,Belgium,1
HH2002930,Belgium,1
HH2002931,Belgium,1
HH2002932,Belgium,1
HH2002934,Belgium,1
HH2002935,Belgium,1
HH2002936,Belgium,1
HH2002937,Belgium,1
HH2002938,Belgium,1
HH2002939,Belgium,1
HH2002940,Belgium,1
HH2002941,Belgium,1
HH2002942,Belgium,1
HH2002943,Belgium,1
HH2003012,Belgium,2
HH2003013,Belgium,2
HH2003015,Belgium,2
HH2003016,Belgium,1
HH2003017,Belgium,1
HH2003018,Belgium,1
HH2003019,Belgium,1
HH2003020,Belgium,1
HH2003021,Belgium,1
HH2003022,Belgium,1
HH2003023,Belgium,1
HH2003024,Belgium,1
HH2003025,Belgium,1
HH2003026,Belgium,1
HH2003028,Belgium,1
HH2003029,Belgium,1
HH2003030,Belgium,1
HH2003031,Belgium,1
HH2003032,Belgium,1
HH2003033,Belgium,1
HH2003034,Belgium,1
HH2003035,Belgium,1
HH2003036,Belgium,1
HH2003037,Belgium,1
HH2003038,Belgium,1
HH2003040,Belgium,1
HH2003041,Belgium,1
HH2003042,Belgium,1
HH2003043,Belgium,1
HH2003112,Belgium,2
HH2003113,Belgium,2
HH2003114,Belgium,2
HH2003115,Belgium,2
HH2003116,Belgium,2
HH2003118,Belgium,2
HH2003119,Belgium,2
HH2003120,Belgium,2
HH2003122,Belgium,2
HH2003123,Belgium,2
HH2003124,Belgium,2
HH2003126,Belgium,2
HH2003127,Belgium,2
HH2003128,Belgium,2
HH2003129,Belgium,2
HH2003130,Belgium,2
HH2003133,Belgium,2
HH2003135,Belgium,2
HH2003136,Belgium,2
HH2003138,Belgium,2
HH2003140,Belgium,2
HH2003141,Belgium,2
HH2003142,Belgium,2
HH2003143,Belgium,2
HH2003213,Belgium,1
HH2003217,Belgium,1
HH2003218,Belgium,1
HH2003219,Belgium,1
HH2003220,Belgium,1
HH2003221,Belgium,1
HH2003222,Belgium,1
HH2003223,Belgium,1
HH2003226,Belgium,1
HH2003227,Belgium,1
HH2003228,Belgium,1
HH2003231,Belgium,1
HH2003232,Belgium,1
HH2003233,Belgium,1
HH2003234,Belgium,1
HH2003235,Belgium,1
HH2003236,Belgium,1
HH2003238,Belgium,1
HH2003241,Belgium,1
HH2003242,Belgium,1
HH2003323,Belgium,3
HH2003330,Belgium,3
HH2003412,Belgium,1
HH2003413,Belgium,1
HH2003414,Belgium,1
HH2003415,Belgium,1
HH2003416,Belgium,1
HH2003417,Belgium,1
HH2003418,Belgium,1
HH2003419,Belgium,1
HH2003420,Belgium,1
HH2003421,Belgium,1
HH2003422,Belgium,1
HH2003423,Belgium,1
HH2003424,Belgium,1
HH2003425,Belgium,1
HH2003426,Belgium,1
HH2003427,Belgium,1
HH2003428,Belgium,1
HH2003429,Belgium,1
HH2003430,Belgium,1
HH2003431,Belgium,1
HH2003432,Belgium,2
HH2003433,Belgium,2
HH2003434,Belgium,2
HH2003435,Belgium,2
HH2003436,Belgium,2
HH2003437,Belgium,2
HH2003438,Belgium,2
HH2003439,Belgium,2
HH2003440,Belgium,2
HH2003441,Belgium,2
HH2003442,Belgium,2
HH2003443,Belgium,2
HH2003512,Belgium,2
HH2003513,Belgium,2
HH2003514,Belgium,2
HH2003515,Belgium,2
HH2003517,Belgium,2
HH2003518,Belgium,2
HH2003519,Belgium,2
HH2003520,Belgium,2
HH2003521,Belgium,2
HH2003522,Belgium,2
HH2003523,Belgium,2
HH2003524,Belgium,2
HH2003525,Belgium,2
HH2003526,Belgium,2
HH2003527,Belgium,2
HH2003528,Belgium,2
HH2003529,Belgium,2
HH2003530,Belgium,2
HH2003531,Belgium,2
HH2003532,Belgium,2
HH2003533,Belgium,2
HH2003534,Belgium,2
HH2003535,Belgium,2
HH2003536,Belgium,2
HH2003537,Belgium,2
HH2003538,Belgium,2
HH2003539,Belgium,2
HH2003540,Belgium,2
HH2003541,Belgium,2
HH2003542,Belgium,2
HH2003543,Belgium,2
HH2003712,Belgium,3
HH2003714,Belgium,3
HH2003718,Belgium,3
HH2003719,Belgium,3
HH2003720,Belgium,3
HH2003722,Belgium,3
HH2003723,Belgium,3
HH2003724,Belgium,3
HH2003725,Belgium,3
HH2003726,Belgium,3
HH2003727,Belgium,3
HH2003728,Belgium,3
HH2003729,Belgium,3
HH2003730,Belgium,2
HH2003731,Belgium,2
HH2003733,Belgium,2
HH2003734,Belgium,2
HH2003735,Belgium,2
HH2003736,Belgium,2
HH2003737,Belgium,2
HH2003738,Belgium,2
HH2003739,Belgium,2
HH2003740,Belgium,2
HH2003741,Belgium,2
HH2003742,Belgium,2
HH2003743,Belgium,2
HH2003812,Belgium,1
HH2003813,Belgium,1
HH2003815,Belgium,1
HH2003817,Belgium,1
HH2003818,Belgium,1
HH2003819,Belgium,1
HH2003821,Belgium,1
HH2003822,Belgium,1
HH2003823,Belgium,1
HH2003825,Belgium,1
HH2003828,Belgium,1
HH2003833,Belgium,1
HH2003917,Belgium,2
HH2003918,Belgium,2
HH2003919,Belgium,2
HH2003921,Belgium,2
HH2003922,Belgium,2
HH2003923,Belgium,2
HH2003924,Belgium,2
HH2003928,Belgium,2
HH2003929,Belgium,2
HH2003931,Belgium,2
HH2003932,Belgium,2
HH2003933,Belgium,2
HH2003934,Belgium,2
HH2003935,Belgium,2
HH2003936,Belgium,2
HH2003937,Belgium,2
HH2003940,Belgium,2
HH2003941,Belgium,2
HH2003942,Belgium,2
HH2004012,Belgium,2
HH2004013,Belgium,2
HH2004016,Belgium,2
HH2004018,Belgium,2
HH2004020,Belgium,2
HH2004022,Belgium,2
HH2004023,Belgium,2
HH2004024,Belgium,2
HH2004026,Belgium,2
HH2004030,Belgium,2
HH2004031,Belgium,2
HH2004032,Belgium,2
HH2004033,Belgium,2
HH2004034,Belgium,2
HH2004037,Belgium,2
HH2004039,Belgium,2
HH2004040,Belgium,2
HH2004041,Belgium,2
HH2004042,Belgium,2
HH2004043,Belgium,2
HH2004112,Belgium,2
HH2004115,Belgium,2
HH2004116,Belgium,2
HH2004117,Belgium,2
HH2004118,Belgium,2
HH2004119,Belgium,2
HH2004120,Belgium,2
HH2004121,Belgium,2
HH2004122,Belgium,2
HH2004123,Belgium,2
HH2004124,Belgium,2
HH2004125,Belgium,2
HH2004126,Belgium,2
HH2004127,Belgium,2
HH2004128,Belgium,2
HH2004129,Belgium,2
HH2004130,Belgium,2
HH2004131,Belgium,2
HH2004132,Belgium,2
HH2004133,Belgium,2
HH2004134,Belgium,2
HH2004135,Belgium,2
HH2004136,Belgium,2
HH2004138,Belgium,2
HH2004139,Belgium,2
HH2004140,Belgium,2
HH2004141,Belgium,2
HH2004142,Belgium,2
HH2004143,Belgium,2
HH2004213,Belgium,1
HH2004215,Belgium,1
HH2004216,Belgium,1
HH2004218,Belgium,1
HH2004219,Belgium,1
HH2004220,Belgium,1
HH2004222,Belgium,1
HH2004223,Belgium,1
HH2004224,Belgium,1
HH2004225,Belgium,1
HH2004226,Belgium,1
HH2004227,Belgium,1
HH2004228,Belgium,1
