part_id,sday_id,day,month,year,dayofweek,wave,holiday
2090623,2021.05.26,26,5,2021,3,23,0
2090723,2021.05.29,29,5,2021,6,23,0
2090823,2021.05.30,30,5,2021,0,23,0
2091123,2021.05.26,26,5,2021,3,23,0
2091423,2021.05.26,26,5,2021,3,23,0
2091523,2021.05.30,30,5,2021,0,23,0
2091623,2021.05.29,29,5,2021,6,23,0
2091823,2021.05.27,27,5,2021,4,23,0
2092223,2021.05.26,26,5,2021,3,23,0
2092323,2021.05.25,25,5,2021,2,23,0
2092523,2021.05.26,26,5,2021,3,23,0
2092623,2021.05.26,26,5,2021,3,23,0
2092823,2021.05.29,29,5,2021,6,23,0
2092923,2021.05.26,26,5,2021,3,23,0
2093123,2021.05.27,27,5,2021,4,23,0
2093623,2021.05.26,26,5,2021,3,23,0
2093723,2021.05.29,29,5,2021,6,23,0
2094023,2021.05.27,27,5,2021,4,23,0
2094123,2021.05.27,27,5,2021,4,23,0
2094523,2021.05.26,26,5,2021,3,23,0
2095023,2021.05.30,30,5,2021,0,23,0
2095223,2021.05.26,26,5,2021,3,23,0
2095623,2021.05.27,27,5,2021,4,23,0
2095723,2021.05.30,30,5,2021,0,23,0
2095823,2021.05.29,29,5,2021,6,23,0
2095923,2021.05.30,30,5,2021,0,23,0
2096123,2021.05.30,30,5,2021,0,23,0
2096223,2021.05.27,27,5,2021,4,23,0
2096323,2021.05.26,26,5,2021,3,23,0
2096423,2021.05.30,30,5,2021,0,23,0
2096723,2021.05.27,27,5,2021,4,23,0
2096923,2021.05.26,26,5,2021,3,23,0
2097123,2021.05.26,26,5,2021,3,23,0
2097223,2021.05.30,30,5,2021,0,23,0
2097423,2021.05.29,29,5,2021,6,23,0
2098623,2021.05.27,27,5,2021,4,23,0
2098823,2021.05.25,25,5,2021,2,23,0
2099023,2021.05.30,30,5,2021,0,23,0
2099223,2021.05.26,26,5,2021,3,23,0
2099423,2021.05.30,30,5,2021,0,23,0
2099623,2021.05.27,27,5,2021,4,23,0
2099723,2021.05.30,30,5,2021,0,23,0
2099823,2021.05.26,26,5,2021,3,23,0
2099923,2021.05.29,29,5,2021,6,23,0
2100023,2021.05.30,30,5,2021,0,23,0
